location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
A31,982,430,-54,-51,-64,-53,0,-93,-94,0,0,0
A31,982,430,-52,-51,-61,-58,0,0,0,0,0,0
A31,982,430,-52,-52,-62,-57,0,0,-90,0,0,0
A31,982,430,-54,-53,-67,-57,0,0,0,0,0,0
A31,982,430,-52,-52,-65,-58,0,-94,-92,0,0,0
A31,982,430,-52,-50,-65,-57,0,0,0,0,0,0
A31,982,430,-52,-51,-66,-57,0,0,-94,0,0,0
A31,982,430,-52,-52,-63,-57,0,-95,-93,0,0,0
A31,982,430,-52,-52,-63,-58,0,0,0,0,0,0
A31,982,430,-53,-52,-66,-57,0,-94,-90,0,0,0
A31,982,430,-52,-52,-66,-58,0,0,0,0,0,0
A31,982,430,-52,-52,-66,-58,0,-95,-91,0,0,0
A31,982,430,-53,-52,-66,-57,0,0,-90,0,0,0
A31,982,430,-52,-51,-66,-57,0,0,0,0,0,0
A31,982,430,-52,-51,-63,-58,0,-94,-90,0,0,0
A31,982,430,-53,-52,-62,-58,0,0,-91,0,0,0
A31,982,430,-52,-51,-62,-58,0,0,0,0,0,0
A31,982,430,-52,-51,-62,-58,0,-93,-92,0,0,0
A31,982,430,-52,-51,-62,-58,0,0,-90,0,0,0
A31,982,430,-52,-51,-62,-58,0,0,0,0,0,0
A31,982,430,-53,-52,-63,-58,0,-94,-92,0,0,0
A31,982,430,-52,-51,-63,-58,0,0,0,0,0,0
A31,982,430,-52,-52,-62,-58,0,0,-93,0,0,0
A31,982,430,-52,-52,-62,-58,0,0,-92,0,0,0
A31,982,430,-52,-51,-62,-58,0,0,0,0,0,0
A31,982,430,-52,-51,-63,-58,0,0,-91,0,0,0
A31,982,430,-52,-52,-63,-58,0,0,-91,0,0,0
A31,982,430,-52,-52,-63,-58,0,0,0,0,0,0
A31,982,430,-52,-51,-63,-58,0,0,-93,0,0,0
A31,982,430,-52,-52,-63,-58,0,-93,-95,0,0,0
A31,982,430,-53,-52,-62,-57,0,0,0,0,0,0
A31,982,430,-52,-51,-66,-58,0,0,0,0,0,0
A31,982,430,-53,-52,-63,-58,0,-96,-93,0,0,0
A31,982,430,-52,-52,-65,-57,0,-96,-91,0,0,0
A31,982,430,-52,-52,-65,-57,0,0,0,0,0,0
A31,982,430,-53,-53,-66,-58,0,-93,-91,0,0,0
A31,982,430,-52,-52,-63,-58,0,-95,-91,0,0,0
A31,982,430,-53,-52,-66,-58,0,0,0,0,0,0
A31,982,430,-52,-51,-62,-58,0,-94,-94,0,0,0
A31,982,430,-52,-52,-62,-57,0,0,0,0,0,0
A31,982,430,-54,-52,-63,-57,0,0,-92,0,0,0
A31,982,430,-54,-52,-67,-58,0,0,0,0,0,0
A31,982,430,-51,-51,-67,-58,0,0,-91,0,0,0
A31,982,430,-52,-52,-66,-58,0,0,-92,0,0,0
A31,982,430,-52,-51,-63,-57,0,0,0,0,0,0
A31,982,430,-52,-51,-62,-58,0,0,-93,0,0,0
A31,982,430,-51,-52,-65,-57,0,0,-91,0,0,0
A31,982,430,-52,-52,-64,-58,0,0,0,0,0,0
A31,982,430,-52,-52,-66,-57,0,0,-92,0,0,0
A31,982,430,-52,-52,-66,-58,0,-94,-91,0,0,0
A31,982,430,-52,-51,-65,-57,0,0,0,0,0,0
A31,982,430,-53,-52,-66,-58,0,0,-92,0,0,0
A31,982,430,-52,-51,-66,-57,0,-95,-92,0,0,0
A31,982,430,-52,-52,-61,-57,0,0,-92,0,0,0
A31,982,430,-54,-51,-63,-58,0,-94,-96,0,0,0
A31,982,430,-52,-52,-65,-58,0,0,0,0,0,0
A31,982,430,-53,-52,-62,-57,0,-94,-91,0,0,0
A31,982,430,-53,-52,-64,-58,0,0,-92,0,0,0
A31,982,430,-52,-51,-62,-57,0,0,0,0,0,0
A31,982,430,-52,-52,-64,-57,0,0,-90,0,0,0
A31,982,430,-52,-50,-61,-57,0,-95,-93,0,0,0
A31,982,430,-52,-52,-66,-57,0,-94,-93,0,0,0
A31,982,430,-52,-51,-68,-57,0,0,0,0,0,0
A31,982,430,-52,-51,-63,-57,0,-93,-92,0,0,0
A31,982,430,-53,-52,-66,-57,0,-95,-88,0,0,0
A31,982,430,-53,-50,-67,-57,0,0,-90,0,0,0
A31,982,430,-53,-51,-67,-57,0,0,-92,0,0,0
A31,982,430,-53,-52,-67,-57,0,0,-93,0,0,0
A31,982,430,-52,-50,-66,-57,0,0,0,0,0,0
A31,982,430,-52,-52,-67,-57,0,-94,-93,0,0,0
A31,982,430,-52,-52,-67,-58,0,0,-91,0,0,0
A31,982,430,-52,-51,-67,-57,0,0,0,0,0,0
A31,982,430,-53,-52,-67,-57,0,-95,-90,0,0,0
A31,982,430,-52,-52,-66,-58,0,0,0,0,0,0
A31,982,430,-52,-50,-67,-58,0,0,-93,0,0,0
A31,982,430,-52,-52,-67,-58,0,0,-91,0,0,0
A31,982,430,-52,-51,-67,-57,0,-95,-93,0,0,0
A31,982,430,-53,-52,-67,-58,0,0,0,0,0,0
A31,982,430,-52,-52,-67,-58,0,-93,-89,0,0,0
A31,982,430,-52,-51,-67,-58,0,-96,-91,0,0,0
A31,982,430,-53,-52,-67,-58,0,0,0,0,0,0
A31,982,430,-52,-51,-67,-57,0,0,-91,0,0,0
A31,982,430,-52,-50,-66,-58,0,-95,-91,0,0,0
A31,982,430,-53,-52,-67,-58,0,0,0,0,0,0
A31,982,430,-52,-51,-66,-57,0,0,-91,0,0,0
A31,982,430,-52,-50,-66,-58,0,0,-92,0,0,0
A31,982,430,-52,-50,-66,-58,0,0,0,0,0,0
A31,982,430,-52,-51,-67,-57,0,0,-90,0,0,0
A31,982,430,-52,-50,-66,-57,0,0,-91,0,0,0
A31,982,430,-52,-52,-67,-58,0,0,0,0,0,0
A31,982,430,-53,-50,-66,-57,0,0,-92,0,0,0
A31,982,430,-53,-52,-67,-58,0,-97,-92,0,0,0
A31,982,430,-52,-52,-66,-57,0,0,0,0,0,0
A31,982,430,-52,-50,-67,-57,0,0,-94,0,0,0
A31,982,430,-53,-52,-66,-58,0,0,0,0,0,0
A31,982,430,-52,-52,-66,-58,0,-95,-90,0,0,0
A31,982,430,-52,-52,-66,-58,0,0,-90,0,0,0
