location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
B39,1205,400,-57,-32,-63,-60,-88,-91,-94,-87,-88,-89
B39,1205,400,-59,-32,-63,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-62,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-62,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-62,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-62,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-62,0,0,0,0,0,0
B39,1205,400,-58,-32,-63,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-62,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-56,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-56,-32,-63,-60,0,0,0,0,0,0
B39,1205,400,-56,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-56,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-60,0,0,0,0,0,0
B39,1205,400,-56,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-62,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-64,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-64,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-62,0,0,0,0,0,0
B39,1205,400,-56,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-56,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-60,0,0,0,0,0,0
B39,1205,400,-57,-33,-63,-61,0,0,0,0,0,0
B39,1205,400,-56,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-64,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-62,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-62,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-62,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-64,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-63,-61,0,0,0,0,0,0
B39,1205,400,-57,-32,-62,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-62,-60,0,0,0,0,0,0
B39,1205,400,-58,-32,-64,-61,0,0,0,0,0,0
B39,1205,400,-58,-32,-63,-60,0,0,0,0,0,0
B39,1205,400,-58,-32,-63,-62,0,0,0,0,0,0
