location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
D22,726,339,-48,-56,-52,-66,-94,-93,-82,-93,0,0
D22,726,339,-48,-53,-53,-72,-91,-94,-83,0,0,0
D22,726,339,-45,-52,-54,-69,-91,-93,-86,-92,0,0
D22,726,339,-48,-53,-57,-59,-89,-93,-82,-93,0,0
D22,726,339,-49,-53,-51,-66,-94,-92,-83,-93,0,0
D22,726,339,-48,-53,-51,-66,-92,-95,-82,-91,0,0
D22,726,339,-48,-53,-51,-67,-93,-89,-81,-94,0,0
D22,726,339,-48,-52,-53,-67,-92,-91,-86,0,0,0
D22,726,339,-47,-54,-53,-66,-89,-94,-86,0,0,0
D22,726,339,-47,-53,-51,-67,-93,-94,-84,-94,0,0
D22,726,339,-47,-54,-55,-75,-91,-92,-86,0,0,0
D22,726,339,-48,-53,-54,-67,0,-91,-86,-93,0,0
D22,726,339,-48,-53,-54,-75,-92,-94,-86,-93,0,0
D22,726,339,-47,-54,-54,-80,-93,-91,-88,-93,0,0
D22,726,339,-47,-52,-53,-77,-93,-95,-85,-93,0,0
D22,726,339,-47,-53,-52,-68,0,-92,-86,-93,0,0
D22,726,339,-47,-53,-52,-66,-90,-95,-86,-93,0,0
D22,726,339,-47,-53,-52,-65,-90,-94,-83,-93,0,0
D22,726,339,-48,-53,-54,-66,0,-89,-80,-94,0,0
D22,726,339,-47,-53,-55,-66,-93,-91,-86,0,0,0
D22,726,339,-48,-52,-53,-65,-93,-92,-86,-94,0,0
D22,726,339,-47,-52,-53,-65,-93,-93,-83,-93,0,0
D22,726,339,-47,-52,-53,-65,-92,-91,-83,-94,0,0
D22,726,339,-48,-52,-53,-65,-93,-94,-82,0,0,0
D22,726,339,-48,-53,-53,-64,-93,-95,-82,-93,0,0
D22,726,339,-48,-53,-53,-65,-94,-93,-83,0,0,0
D22,726,339,-48,-53,-53,-63,-95,-92,-85,-94,0,0
D22,726,339,-48,-53,-53,-65,-91,-93,-85,0,0,0
D22,726,339,-48,-53,-52,-65,-91,-92,-86,-93,0,0
D22,726,339,-48,-53,-52,-62,-92,-93,-86,-94,0,0
D22,726,339,-48,-54,-54,-65,-92,-93,-85,-94,0,0
D22,726,339,-47,-53,-51,-63,-94,-94,-86,-92,0,0
D22,726,339,-48,-53,-52,-65,-93,-92,-87,-94,0,0
D22,726,339,-48,-53,-52,-66,-90,-95,-83,-92,0,0
D22,726,339,-47,-53,-53,-64,-89,-94,-82,-96,0,0
D22,726,339,-48,-54,-53,-65,-92,-94,-83,0,0,0
D22,726,339,-48,-54,-52,-63,-91,-94,-82,-95,0,0
D22,726,339,-48,-54,-52,-62,-88,-92,-82,-94,0,0
D22,726,339,-48,-54,-52,-63,-90,-94,-82,-96,0,0
D22,726,339,-49,-54,-52,-66,-94,-93,-82,-94,0,0
D22,726,339,-50,-53,-52,-65,-95,-95,-86,-94,0,0
D22,726,339,-47,-54,-54,-66,-91,-92,-85,-92,0,0
D22,726,339,-49,-55,-51,-67,-91,-94,-86,-96,0,0
D22,726,339,-48,-53,-53,-60,-93,-94,-85,-92,0,0
D22,726,339,-47,-53,-50,-62,-92,-92,-87,-93,0,0
D22,726,339,-48,-53,-54,-65,-91,-92,-86,-94,0,0
D22,726,339,-48,-53,-54,-65,-93,-94,-82,-95,0,0
D22,726,339,-48,-53,-53,-64,-93,-95,-87,-94,0,0
D22,726,339,-47,-53,-51,-64,-93,-93,-86,-93,0,0
