location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
F18,619,272,-45,-60,-34,-56,-93,-92,-88,-93,-93,0
F18,619,272,-45,-59,-34,-57,-91,0,-90,-91,0,0
F18,619,272,-45,-54,-34,-56,-93,-87,-93,-92,0,0
F18,619,272,-45,-56,-34,-57,0,0,-92,-93,0,0
F18,619,272,-45,-61,-34,-55,0,0,0,-92,0,0
F18,619,272,-46,-55,-35,-56,-93,0,-88,-95,0,0
F18,619,272,-46,-65,-34,-57,-92,0,-93,-93,0,0
F18,619,272,-45,-59,-34,-54,-92,-90,-91,-95,0,0
F18,619,272,-45,-58,-34,-58,-93,0,0,-94,0,0
F18,619,272,-46,-58,-34,-56,-93,0,-92,-94,0,0
F18,619,272,-46,-57,-34,-56,-92,-93,-88,-93,0,0
F18,619,272,-45,-58,-34,-56,0,0,0,-94,0,0
F18,619,272,-45,-58,-34,-54,0,0,0,-90,0,0
F18,619,272,-45,-58,-35,-56,-92,0,0,-94,0,0
F18,619,272,-46,-59,-35,-54,0,-92,-89,-93,0,0
F18,619,272,-45,-57,-34,-55,-93,0,0,-93,0,0
F18,619,272,-47,-57,-34,-56,-90,-88,-95,-91,0,0
F18,619,272,-47,-57,-34,-55,-92,0,0,-91,0,0
F18,619,272,-45,-58,-37,-54,-92,-92,-88,-92,0,0
F18,619,272,-46,-59,-34,-54,-94,0,-93,-93,0,0
F18,619,272,-46,-57,-34,-55,-91,0,0,-93,0,0
F18,619,272,-46,-58,-34,-54,-92,0,0,-92,0,0
F18,619,272,-46,-58,-34,-54,-91,0,0,-93,0,0
F18,619,272,-46,-58,-34,-55,0,-91,0,-92,0,0
F18,619,272,-46,-58,-35,-55,-92,-90,0,-91,0,0
F18,619,272,-46,-57,-34,-54,0,0,0,-94,0,0
F18,619,272,-46,-57,-35,-54,0,0,0,-91,0,0
F18,619,272,-46,-58,-34,-55,-92,-91,-89,-94,0,0
F18,619,272,-46,-58,-34,-54,-92,0,0,-94,0,0
F18,619,272,-46,-57,-34,-54,0,0,0,-95,0,0
F18,619,272,-46,-57,-34,-54,-92,-89,0,-93,0,0
F18,619,272,-46,-58,-34,-54,-95,-93,0,-95,0,0
F18,619,272,-46,-55,-34,-54,-92,-90,-93,-92,0,0
F18,619,272,-46,-59,-34,-56,-94,0,-89,-93,0,0
F18,619,272,-46,-63,-34,-56,-92,-89,0,-93,0,0
F18,619,272,-46,-62,-35,-57,-93,-90,-89,0,0,0
F18,619,272,-46,-62,-34,-57,-94,-91,-89,-94,0,0
F18,619,272,-46,-61,-34,-57,-93,-89,-88,-92,0,0
F18,619,272,-46,-61,-34,-58,-91,0,0,-93,0,0
F18,619,272,-46,-61,-34,-58,-92,-91,-93,-93,0,0
F18,619,272,-46,-61,-35,-58,-94,-91,-89,0,0,0
F18,619,272,-46,-60,-35,-60,0,0,0,0,0,0
F18,619,272,-46,-62,-34,-59,-91,0,0,-92,0,0
F18,619,272,-46,-58,-34,-58,0,-90,-96,-93,0,0
F18,619,272,-45,-58,-35,-59,-91,-92,-88,-94,0,0
F18,619,272,-46,-58,-34,-58,-94,-90,-94,-94,0,0
F18,619,272,-45,-60,-34,-58,-92,0,0,-92,0,0
F18,619,272,-46,-58,-34,-57,-91,0,-88,-93,0,0
F18,619,272,-46,-57,-35,-57,0,0,-88,-92,0,0
F18,619,272,-46,-55,-34,-56,-93,0,0,-91,0,0
F18,619,272,-45,-59,-35,-58,-92,-93,0,-93,0,0
F18,619,272,-45,-57,-34,-57,-90,0,0,-93,0,0
F18,619,272,-45,-60,-35,-57,-93,-91,-87,-94,0,0
F18,619,272,-46,-57,-34,-57,-89,-92,-90,-92,0,0
F18,619,272,-46,-57,-34,-56,-92,0,0,0,0,0
F18,619,272,-47,-58,-35,-55,-94,0,0,-94,0,0
F18,619,272,-46,-58,-34,-55,-93,-91,-88,-94,0,0
F18,619,272,-46,-58,-34,-55,-92,-90,0,-93,0,0
F18,619,272,-46,-57,-35,-55,-91,-92,-88,-90,0,0
F18,619,272,-46,-58,-34,-55,-91,0,0,-94,0,0
F18,619,272,-46,-57,-35,-54,-92,0,0,0,0,0
F18,619,272,-46,-57,-35,-56,-92,-89,0,-93,0,0
F18,619,272,-46,-59,-35,-54,-92,-90,0,-93,0,0
F18,619,272,-46,-58,-35,-54,0,-90,0,-94,0,0
F18,619,272,-46,-57,-35,-55,0,0,0,-94,0,0
F18,619,272,-46,-58,-35,-56,-92,0,0,-92,0,0
F18,619,272,-46,-58,-35,-56,0,-91,-90,-93,0,0
F18,619,272,-46,-57,-35,-55,0,-93,0,-94,0,0
F18,619,272,-46,-57,-34,-55,-94,-90,0,-92,0,0
F18,619,272,-46,-58,-35,-55,-92,-90,0,-92,0,0
F18,619,272,-46,-60,-35,-54,-93,-92,-89,-94,0,0
F18,619,272,-46,-58,-34,-54,-95,0,0,-94,0,0
F18,619,272,-46,-60,-35,-56,-91,0,0,-93,0,0
F18,619,272,-46,-58,-35,-55,-92,0,-95,-93,0,0
F18,619,272,-46,-58,-35,-55,-91,-93,-93,-94,0,0
F18,619,272,-46,-58,-34,-54,-92,-88,-89,-93,0,0
F18,619,272,-46,-56,-34,-55,-93,0,0,-95,0,0
F18,619,272,-46,-56,-34,-55,-93,0,0,-92,0,0
F18,619,272,-46,-58,-35,-54,0,0,-95,-92,0,0
F18,619,272,-45,-58,-35,-55,0,-90,-89,-93,0,0
F18,619,272,-46,-58,-34,-54,0,-90,0,-91,0,0
F18,619,272,-46,-58,-35,-54,-91,0,0,-94,0,0
F18,619,272,-46,-58,-35,-54,-92,-90,0,-95,0,0
F18,619,272,-46,-57,-35,-54,0,-89,0,-93,0,0
F18,619,272,-46,-57,-34,-55,-94,0,0,-93,0,0
F18,619,272,-46,-58,-34,-54,0,-90,-88,-92,0,0
F18,619,272,-46,-58,-34,-56,-94,0,-89,-93,0,0
F18,619,272,-46,-58,-35,-55,-92,-91,-89,-93,0,0
F18,619,272,-46,-57,-35,-55,-93,-91,-87,-94,0,0
F18,619,272,-46,-58,-35,-56,0,0,0,-94,0,0
F18,619,272,-46,-58,-35,-56,-92,0,0,-93,0,0
F18,619,272,-47,-57,-34,-55,-94,-92,0,-93,0,0
F18,619,272,-46,-58,-35,-54,0,0,0,-94,0,0
F18,619,272,-46,-60,-35,-55,0,-89,0,-93,0,0
F18,619,272,-46,-60,-34,-55,-92,0,0,-93,0,0
F18,619,272,-46,-57,-34,-56,-91,0,-96,-93,0,0
F18,619,272,-46,-58,-34,-54,-91,-91,-85,-93,0,0
F18,619,272,-46,-58,-34,-55,-94,-91,-96,-93,0,0
F18,619,272,-46,-60,-34,-54,-92,-91,-95,-93,0,0
F18,619,272,-46,-58,-34,-55,-92,-91,-88,-94,0,0
F18,619,272,-46,-57,-35,-54,0,-92,-88,0,0,0
F18,619,272,-46,-58,-34,-54,0,-90,0,-93,0,0
F18,619,272,-46,-58,-34,-56,0,0,0,0,0,0
F18,619,272,-46,-59,-34,-55,-92,0,0,-93,0,0
F18,619,272,-46,-58,-34,-55,0,0,0,-90,0,0
F18,619,272,-46,-58,-34,-56,-93,0,-87,-93,0,0
F18,619,272,-46,-58,-34,-57,-93,-91,0,-93,0,0
F18,619,272,-46,-58,-34,-55,-93,0,0,-93,0,0
F18,619,272,-46,-58,-34,-55,-92,0,-93,-92,0,0
F18,619,272,-46,-57,-34,-55,-94,-90,0,-93,0,0
F18,619,272,-46,-58,-35,-55,-92,0,0,-93,0,0
F18,619,272,-46,-57,-34,-55,-91,-91,-87,-94,0,0
F18,619,272,-46,-58,-34,-55,-92,0,0,-93,0,0
F18,619,272,-46,-58,-35,-56,-92,-90,-88,-95,0,0
F18,619,272,-46,-59,-34,-55,-91,-91,-88,-93,0,0
F18,619,272,-46,-58,-34,-55,-90,-90,-88,-91,0,0
F18,619,272,-46,-58,-34,-55,-91,0,0,-94,0,0
F18,619,272,-46,-58,-34,-55,-90,-90,-89,-94,0,0
F18,619,272,-46,-58,-35,-55,-93,-92,0,-95,0,0
F18,619,272,-46,-59,-34,-56,-93,0,-95,-94,0,0
F18,619,272,-46,-58,-34,-55,-90,0,0,-93,0,0
F18,619,272,-46,-58,-34,-55,-93,0,-88,-90,0,0
F18,619,272,-46,-59,-34,-55,-92,0,-89,-94,0,0
F18,619,272,-46,-58,-34,-55,-93,-90,0,-95,0,0
F18,619,272,-46,-60,-34,-54,-94,0,0,-93,0,0
F18,619,272,-46,-59,-34,-54,-92,0,0,-91,0,0
F18,619,272,-45,-59,-34,-54,-92,-91,0,-93,0,0
F18,619,272,-46,-59,-35,-55,-91,-89,-88,-94,0,0
F18,619,272,-46,-59,-34,-55,-92,0,-87,-92,0,0
F18,619,272,-46,-59,-35,-55,-94,-91,-87,-93,0,0
F18,619,272,-46,-56,-35,-56,-93,0,-94,-93,0,0
F18,619,272,-46,-59,-35,-54,-93,-91,0,-92,0,0
F18,619,272,-46,-59,-34,-54,-91,-92,0,-92,0,0
F18,619,272,-46,-59,-35,-54,-92,-91,-88,-94,0,0
F18,619,272,-46,-59,-35,-54,-92,0,-86,-95,0,0
F18,619,272,-45,-59,-35,-55,-94,0,0,-92,0,0
F18,619,272,-47,-59,-35,-54,-93,-95,-94,-93,0,0
F18,619,272,-46,-58,-34,-56,-92,0,-93,-93,0,0
F18,619,272,-47,-58,-34,-55,-91,-91,-89,-94,0,0
F18,619,272,-47,-58,-34,-55,-94,0,-94,-93,0,0
F18,619,272,-48,-57,-34,-54,-93,-88,-96,-94,0,0
F18,619,272,-50,-57,-35,-52,-92,-91,-93,-92,0,0
F18,619,272,-45,-57,-34,-58,-92,-92,-94,-92,0,0
F18,619,272,-46,-59,-34,-57,-92,0,0,-94,0,0
F18,619,272,-45,-56,-34,-54,-92,0,0,-91,0,0
F18,619,272,-45,-57,-34,-54,-94,-90,-93,-95,0,0
F18,619,272,-46,-58,-34,-55,-93,-90,-88,-94,0,0
F18,619,272,-45,-57,-35,-53,-93,0,-88,-93,0,0
F18,619,272,-46,-55,-35,-54,0,-91,0,-94,0,0
F18,619,272,-45,-61,-35,-57,0,-91,0,-93,0,0
F18,619,272,-48,-57,-35,-55,0,-90,0,-92,0,0
F18,619,272,-47,-58,-34,-54,0,0,0,-93,0,0
