location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
F40R,1237,275,-71,-34,-66,-72,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-72,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-72,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-72,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-72,0,0,0,0,0,0
F40R,1237,275,-71,-34,-66,-72,0,0,0,0,0,0
F40R,1237,275,-71,-34,-64,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-64,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-72,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-71,-35,-65,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-72,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-72,0,0,0,0,0,0
F40R,1237,275,-71,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-66,-72,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-64,-72,0,0,0,0,0,0
F40R,1237,275,-71,-34,-66,-72,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-72,0,0,0,0,0,0
F40R,1237,275,-71,-34,-66,-72,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-72,0,0,0,0,0,0
F40R,1237,275,-71,-34,-66,-72,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-64,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-33,-64,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-64,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-64,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-64,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-64,-72,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-72,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-72,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-72,0,0,0,0,0,0
F40R,1237,275,-70,-33,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-72,0,0,0,0,0,0
F40R,1237,275,-71,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-71,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-33,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-75,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-75,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-72,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-73,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-65,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-74,0,0,0,0,0,0
F40R,1237,275,-70,-34,-66,-72,0,0,0,0,0,0
