location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
G30,957,237,-59,-49,-61,-56,0,0,0,0,0,0
G30,957,237,-58,-49,-62,-56,0,0,0,0,0,0
G30,957,237,-60,-48,-62,-56,0,0,0,0,0,0
G30,957,237,-61,-49,-65,-57,0,0,0,0,0,0
G30,957,237,-58,-48,-62,-58,0,0,0,0,0,0
G30,957,237,-60,-49,-61,-57,0,0,0,0,0,0
G30,957,237,-58,-48,-65,-56,0,0,0,0,0,0
G30,957,237,-58,-49,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-62,-57,0,0,0,0,0,0
G30,957,237,-59,-48,-63,-56,0,0,0,0,0,0
G30,957,237,-60,-49,-65,-57,0,0,0,0,0,0
G30,957,237,-69,-49,-63,-57,0,0,0,0,0,0
G30,957,237,-57,-48,-63,-56,0,0,0,0,0,0
G30,957,237,-77,-48,-56,-56,0,0,0,0,0,0
G30,957,237,-68,-49,-64,-57,0,0,0,0,0,0
G30,957,237,-62,-49,-60,-56,0,0,0,0,0,0
G30,957,237,-67,-51,-64,-58,0,0,0,0,0,0
G30,957,237,-58,-47,-65,-55,0,0,0,0,0,0
G30,957,237,-57,-48,-61,-56,0,0,0,0,0,0
G30,957,237,-60,-46,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-50,-63,-57,0,0,0,0,0,0
G30,957,237,-57,-49,-63,-56,0,0,0,0,0,0
G30,957,237,-58,-49,-56,-57,0,0,0,0,0,0
G30,957,237,-60,-49,-63,-56,0,0,0,0,0,0
G30,957,237,-60,-49,-63,-57,0,0,0,0,0,0
G30,957,237,-59,-48,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-65,-56,0,0,0,0,0,0
G30,957,237,-60,-48,-64,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-65,-57,0,0,0,0,0,0
G30,957,237,-59,-49,-64,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-63,-56,0,0,0,0,0,0
G30,957,237,-58,-48,-64,-56,0,0,0,0,0,0
G30,957,237,-58,-48,-64,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-65,-57,0,0,0,0,0,0
G30,957,237,-59,-49,-66,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-64,-57,0,0,0,0,0,0
G30,957,237,-59,-49,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-63,-57,0,0,0,0,0,0
G30,957,237,-59,-48,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-64,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-62,-57,0,0,0,0,0,0
G30,957,237,-59,-48,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-65,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-66,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-49,-63,-56,0,0,0,0,0,0
G30,957,237,-59,-48,-63,-57,0,0,0,0,0,0
G30,957,237,-60,-48,-65,-56,0,0,0,0,0,0
