location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
G6,283,237,-48,-58,-50,-63,-93,0,-95,-89,-89,-83
G6,283,237,-48,-58,-50,-63,0,0,0,-88,-91,-88
G6,283,237,-48,-57,-50,-63,0,0,0,-88,-91,-88
G6,283,237,-48,-58,-50,-64,-94,0,0,-87,-89,-87
G6,283,237,-49,-57,-50,-64,-93,0,-96,-88,-88,-83
G6,283,237,-48,-57,-50,-63,0,0,-93,-88,-88,-89
G6,283,237,-48,-57,-51,-63,-94,0,-93,-90,-89,-88
G6,283,237,-49,-58,-49,-63,0,0,-95,-88,-88,-84
G6,283,237,-48,-58,-49,-63,0,0,-93,-89,-90,-84
G6,283,237,-49,-57,-50,-63,0,0,0,-91,-91,-86
G6,283,237,-48,-58,-51,-63,0,0,0,-90,-90,-87
G6,283,237,-49,-57,-50,-63,-95,0,0,-90,-89,-84
G6,283,237,-48,-57,-50,-63,0,0,-94,-91,-92,-85
G6,283,237,-49,-57,-52,-63,0,0,0,-90,-89,-84
G6,283,237,-48,-57,-51,-63,-94,0,-93,-89,-88,-88
G6,283,237,-48,-59,-50,-63,0,0,-94,-88,-88,-88
G6,283,237,-48,-58,-50,-63,0,0,-93,-88,-88,-86
G6,283,237,-48,-58,-49,-63,-94,0,-94,-88,-90,-88
G6,283,237,-48,-57,-51,-63,-93,0,-94,-91,-91,-88
G6,283,237,-49,-57,-50,-63,0,0,-94,-89,-89,-86
G6,283,237,-48,-58,-50,-63,0,0,-95,-90,-89,-83
G6,283,237,-48,-57,-50,-64,0,0,-93,-87,-88,-88
G6,283,237,-49,-57,-51,-63,-94,0,-92,-90,-88,-88
G6,283,237,-48,-57,-50,-63,0,0,-93,-88,-90,-88
G6,283,237,-49,-57,-50,-65,0,0,-92,-89,-90,-87
G6,283,237,-48,-57,-51,-63,-94,0,-96,-89,-89,-88
G6,283,237,-49,-57,-49,-63,0,0,-94,-91,-91,-87
G6,283,237,-48,-58,-50,-63,0,0,0,-89,-89,-87
G6,283,237,-49,-59,-50,-63,-94,0,0,-90,-90,-83
G6,283,237,-49,-57,-50,-63,0,0,-96,-88,-92,-83
G6,283,237,-48,-57,-50,-63,-93,0,0,-90,-89,-85
G6,283,237,-48,-57,-50,-63,0,0,0,-88,-88,-83
G6,283,237,-48,-57,-50,-65,0,0,-94,-90,-90,-83
G6,283,237,-48,-57,-50,-63,-95,0,-96,-91,-93,-83
G6,283,237,-49,-57,-49,-63,0,0,-95,-91,-90,-83
G6,283,237,-48,-57,-51,-63,-95,0,-95,-91,-89,-88
G6,283,237,-49,-57,-50,-65,0,0,-97,-89,-87,-88
G6,283,237,-49,-57,-50,-63,-95,0,-94,-88,-91,-83
G6,283,237,-48,-57,-50,-63,0,0,-94,-88,-88,-84
G6,283,237,-50,-57,-50,-63,0,0,-96,-90,-90,-88
G6,283,237,-48,-57,-51,-63,-99,0,-96,-87,-89,-87
G6,283,237,-48,-57,-49,-63,-92,0,0,-91,-88,-87
G6,283,237,-48,-58,-50,-63,0,0,0,-88,-89,-86
G6,283,237,-48,-57,-50,-64,0,0,0,-91,-90,-89
G6,283,237,-48,-57,-50,-63,0,0,0,-89,-89,-88
G6,283,237,-49,-57,-50,-63,0,0,0,-88,-90,-86
G6,283,237,-49,-58,-50,-63,0,0,-94,-89,-90,-87
G6,283,237,-48,-58,-50,-64,0,0,-95,-91,-88,-87
G6,283,237,-49,-59,-50,-63,0,0,0,-91,-90,-88
G6,283,237,-48,-57,-50,-63,0,0,-96,-90,-88,-89
G6,283,237,-50,-57,-50,-63,0,0,0,-90,-89,-90
G6,283,237,-48,-58,-50,-63,0,0,-95,-90,-90,-87
G6,283,237,-49,-57,-49,-63,0,0,-94,-90,-89,-87
G6,283,237,-49,-59,-50,-63,0,0,0,-87,-88,-83
G6,283,237,-49,-58,-50,-65,0,0,-92,-88,-89,-84
G6,283,237,-50,-57,-49,-63,0,0,-94,0,-88,-88
G6,283,237,-49,-57,-50,-63,0,0,-94,-90,-91,-87
G6,283,237,-49,-57,-50,-63,0,0,0,-88,-89,-88
G6,283,237,-49,-57,-50,-64,0,0,0,-90,-90,-88
G6,283,237,-48,-57,-50,-63,0,0,0,-90,-89,-83
G6,283,237,-49,-58,-51,-63,0,0,0,-89,-89,-84
G6,283,237,-49,-57,-50,-63,0,0,0,-91,-89,-83
G6,283,237,-49,-57,-50,-63,0,0,-94,-89,-90,-83
G6,283,237,-48,-57,-49,-63,0,0,-98,-88,-90,-88
G6,283,237,-48,-58,-50,-63,0,0,-95,-88,-89,-83
G6,283,237,-48,-56,-50,-63,-95,0,0,-90,-90,-83
G6,283,237,-49,-57,-49,-63,0,0,-95,-91,-90,-88
G6,283,237,-49,-57,-50,-63,0,0,-93,-88,-90,-84
G6,283,237,-50,-57,-49,-63,-94,0,-95,-89,-88,-84
G6,283,237,-48,-57,-50,-65,0,0,0,-90,-88,-83
G6,283,237,-48,-58,-50,-65,0,0,-94,-89,-88,-83
G6,283,237,-48,-58,-50,-63,0,0,-95,-90,-90,-87
G6,283,237,-48,-57,-49,-63,0,0,-95,-88,-88,-87
G6,283,237,-48,-58,-49,-63,-95,0,0,-88,-92,-87
G6,283,237,-49,-58,-50,-63,0,0,0,-88,-90,-87
G6,283,237,-48,-58,-49,-63,0,0,0,-89,-90,-88
G6,283,237,-48,-58,-50,-65,0,0,-95,-88,-91,-89
G6,283,237,-48,-58,-50,-63,0,0,-96,-91,-89,-87
G6,283,237,-49,-57,-50,-63,0,0,0,-91,-91,-87
G6,283,237,-49,-58,-49,-65,0,0,-94,-90,-88,-89
G6,283,237,-48,-58,-50,-65,0,0,-95,-88,-91,-88
G6,283,237,-49,-58,-49,-65,0,0,-94,-91,-90,-87
G6,283,237,-49,-58,-49,-65,0,0,0,-91,-90,-86
G6,283,237,-49,-58,-49,-65,-95,0,0,-89,-88,-88
G6,283,237,-49,-58,-49,-65,0,0,0,-89,-90,-87
G6,283,237,-48,-58,-50,-63,0,0,0,-90,-89,-83
G6,283,237,-48,-57,-50,-63,0,0,-97,-91,-88,-84
G6,283,237,-48,-58,-50,-63,-95,0,-96,-89,-90,-87
G6,283,237,-48,-57,-50,-63,-97,0,0,-91,-90,-88
G6,283,237,-48,-57,-50,-63,0,0,-94,-89,-91,-86
G6,283,237,-48,-57,-50,-63,0,0,-94,-87,-89,-83
G6,283,237,-49,-58,-49,-65,0,0,-95,-89,-89,-87
G6,283,237,-49,-57,-50,-64,-94,0,0,-89,-90,-87
G6,283,237,-49,-58,-50,-65,0,0,-94,-91,-90,-87
G6,283,237,-48,-58,-50,-63,0,0,0,-91,-89,-88
G6,283,237,-49,-58,-50,-63,0,0,0,-89,-89,-87
G6,283,237,-48,-58,-50,-65,0,0,0,-89,-89,-88
G6,283,237,-49,-58,-50,-63,0,0,0,-90,-86,-84
G6,283,237,-48,-58,-51,-63,0,0,0,-88,-91,-83
G6,283,237,-49,-57,-50,-63,0,0,0,-88,-91,-83
G6,283,237,-48,-57,-50,-63,0,0,-95,-88,-88,-84
G6,283,237,-48,-57,-50,-64,-94,0,0,-88,-89,-84
G6,283,237,-49,-58,-50,-63,0,0,-96,-87,-89,-83
G6,283,237,-49,-58,-50,-63,-94,0,0,-91,-89,-82
G6,283,237,-48,-57,-50,-63,0,0,-94,-88,-85,-84
G6,283,237,-48,-57,-50,-65,-94,0,0,-90,-89,-86
G6,283,237,-49,-58,-50,-64,0,0,-94,-89,-89,-87
G6,283,237,-48,-58,-50,-63,0,0,-94,-91,-88,-87
G6,283,237,-49,-58,-50,-63,0,0,0,-88,-89,-86
G6,283,237,-48,-57,-51,-63,-94,0,-96,0,-86,-87
G6,283,237,-48,-57,-50,-63,0,0,0,-89,-89,-84
G6,283,237,-48,-57,-50,-63,0,0,0,-90,-88,-84
G6,283,237,-49,-57,-50,-65,0,0,0,-91,-90,-84
G6,283,237,-49,-57,-50,-63,0,0,-96,-88,-88,-83
G6,283,237,-48,-57,-49,-63,0,0,-96,-87,-91,-83
G6,283,237,-48,-57,-49,-63,0,0,0,-88,-91,-86
G6,283,237,-49,-57,-49,-65,0,0,0,-91,-90,-88
G6,283,237,-49,-58,-50,-63,0,0,0,-90,-92,-87
G6,283,237,-48,-57,-50,-63,-95,0,-94,-87,-89,-89
G6,283,237,-48,-57,-50,-63,-95,0,0,-90,-89,-84
G6,283,237,-49,-57,-50,-63,0,0,-94,-90,-90,-88
G6,283,237,-49,-57,-50,-63,0,0,-95,-90,-91,-87
G6,283,237,-50,-57,-51,-63,-94,0,-97,-88,-91,-87
G6,283,237,-49,-57,-50,-65,-95,0,-93,-88,-89,-84
G6,283,237,-49,-57,-51,-64,-95,0,-93,-90,-88,-85
G6,283,237,-49,-58,-49,-64,0,0,-93,-91,-91,-84
G6,283,237,-48,-58,-50,-63,0,0,-92,-89,-89,-88
G6,283,237,-49,-57,-50,-63,0,0,-94,-88,-87,-88
G6,283,237,-48,-57,-50,-63,-96,0,0,-88,-89,-88
G6,283,237,-49,-57,-50,-63,0,0,-94,-89,-89,-87
G6,283,237,-50,-58,-49,-65,0,0,-93,-90,-89,-88
G6,283,237,-49,-58,-50,-64,-94,0,-93,-88,-89,-88
G6,283,237,-49,-57,-49,-63,-95,0,0,-90,-91,-84
G6,283,237,-48,-57,-50,-63,0,0,0,-90,-90,-84
G6,283,237,-49,-57,-50,-65,0,0,0,-90,-91,-88
G6,283,237,-48,-57,-49,-65,0,0,-94,-89,-88,-84
G6,283,237,-49,-57,-49,-63,0,0,-94,-91,-90,-84
G6,283,237,-49,-58,-51,-63,-96,0,-95,-87,-88,-88
G6,283,237,-48,-58,-49,-63,0,0,-96,-88,-89,-89
G6,283,237,-49,-58,-49,-63,0,0,0,-91,-89,-84
G6,283,237,-48,-58,-50,-63,-94,0,-94,-88,-88,-83
G6,283,237,-49,-57,-50,-63,0,0,-94,-88,-89,-84
G6,283,237,-49,-57,-50,-63,0,0,-93,-91,-89,-83
