location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
A16R,563,430,-49,-52,-54,-57,-87,-90,-94,-94,-93,-89
A16R,563,430,-53,-46,-56,-56,-86,-90,-86,0,0,-93
A16R,563,430,-53,-45,-55,-56,-87,-95,-86,0,0,-92
A16R,563,430,-53,-45,-56,-56,-88,-94,-85,0,0,-92
A16R,563,430,-53,-45,-57,-56,-88,-94,-86,0,0,-92
A16R,563,430,-53,-45,-58,-57,-87,-91,0,-96,0,-92
A16R,563,430,-53,-45,-56,-57,-85,-93,-85,0,0,-90
A16R,563,430,-54,-46,-57,-57,-87,-93,-90,0,0,-94
A16R,563,430,-54,-46,-57,-57,-86,-92,-89,0,0,-90
A16R,563,430,-53,-46,-58,-56,-86,-94,-89,-93,0,0
A16R,563,430,-53,-46,-56,-56,-86,-94,-86,-94,-93,-93
A16R,563,430,-54,-45,-58,-56,-87,-95,-84,0,0,-93
A16R,563,430,-54,-45,-57,-57,-89,-92,-85,-95,0,-92
A16R,563,430,-53,-46,-56,-57,-86,-95,-89,0,0,-91
A16R,563,430,-53,-46,-56,-57,-86,-92,-90,-93,0,-92
A16R,563,430,-54,-45,-58,-57,-87,-95,-91,-94,0,-91
A16R,563,430,-53,-46,-57,-59,-85,-93,-84,-95,0,-91
A16R,563,430,-53,-46,-58,-57,-87,-93,-84,-92,0,-92
A16R,563,430,-54,-46,-58,-57,-87,-93,-85,-94,0,-90
A16R,563,430,-54,-45,-57,-56,-87,-92,-86,-94,0,-91
A16R,563,430,-54,-45,-55,-55,-86,-93,-84,-94,0,-93
A16R,563,430,-54,-45,-54,-56,-87,-93,-89,-97,0,-90
A16R,563,430,-54,-45,-55,-56,-86,-93,-90,-95,0,-94
A16R,563,430,-54,-45,-57,-57,-87,-93,-86,0,0,-93
A16R,563,430,-54,-46,-56,-57,-87,-92,-85,-94,0,-90
A16R,563,430,-54,-46,-56,-57,-88,-93,-85,-94,0,-92
A16R,563,430,-54,-46,-56,-57,-87,-93,-85,0,-92,-92
A16R,563,430,-53,-45,-56,-58,-87,-93,-86,-94,0,-91
A16R,563,430,-54,-46,-56,-56,-86,-95,-85,0,0,-91
A16R,563,430,-54,-46,-56,-56,-86,-93,-86,-94,0,-93
A16R,563,430,-54,-46,-56,-57,-86,-93,-84,0,0,-91
A16R,563,430,-54,-46,-56,-56,-87,-94,-90,-94,0,-91
A16R,563,430,-54,-46,-56,-56,-85,-93,-88,0,-92,-91
A16R,563,430,-53,-45,-56,-56,-86,-94,-90,-94,0,-93
A16R,563,430,-53,-45,-56,-58,-87,-94,-90,-93,0,-92
A16R,563,430,-53,-46,-56,-57,-88,-92,-89,-93,0,-92
A16R,563,430,-54,-46,-56,-57,-87,-93,-88,0,-92,-92
A16R,563,430,-53,-45,-56,-57,-86,-93,-91,0,-94,-91
A16R,563,430,-53,-46,-56,-57,-87,-91,-90,0,0,-94
A16R,563,430,-54,-46,-55,-57,-87,-93,-88,0,0,-92
A16R,563,430,-53,-46,-56,-56,-87,-93,-89,-95,0,-91
A16R,563,430,-54,-45,-56,-58,-87,-94,-91,0,0,-85
A16R,563,430,-54,-45,-56,-56,-87,-92,-88,0,0,-93
A16R,563,430,-53,-45,-56,-56,-86,-91,-85,0,0,-92
A16R,563,430,-53,-45,-56,-57,-87,-94,-85,0,0,-92
A16R,563,430,-53,-46,-56,-56,-85,-95,-85,0,0,-90
A16R,563,430,-53,-45,-56,-57,-86,-95,-88,0,0,-92
A16R,563,430,-54,-45,-56,-57,-86,-92,-89,0,0,-91
A16R,563,430,-54,-46,-55,-57,-86,-95,-89,0,0,-92
A16R,563,430,-53,-46,-55,-56,-88,-96,-88,0,0,-90
A16R,563,430,-54,-46,-56,-56,-87,-91,-91,0,0,-92
A16R,563,430,-54,-45,-55,-56,-85,-93,-90,0,-93,-92
A16R,563,430,-53,-45,-56,-56,-87,-95,-90,0,-93,-92
A16R,563,430,-53,-45,-56,-57,-87,-91,-88,0,0,-90
A16R,563,430,-53,-46,-56,-56,-87,-95,-89,0,0,-91
A16R,563,430,-54,-45,-56,-56,-84,-92,-89,0,-92,-91
A16R,563,430,-53,-45,-55,-56,-86,-92,-89,0,0,-91
A16R,563,430,-54,-45,-56,-56,-87,-92,-90,0,0,-92
A16R,563,430,-54,-46,-56,-57,-87,-91,-89,0,-95,-91
A16R,563,430,-54,-45,-56,-57,-85,-93,-84,0,0,-91
A16R,563,430,-54,-45,-57,-57,-85,-87,-84,0,0,-91
A16R,563,430,-53,-46,-56,-56,-87,-94,-85,0,0,-92
