location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
G22,732,430,-53,-56,-48,-49,-93,-90,-82,0,0,0
G22,732,430,-53,-57,-45,-49,-93,-87,-79,0,0,0
G22,732,430,-59,-57,-46,-49,0,0,0,0,0,0
G22,732,430,-59,-56,-46,-48,-91,-89,-79,0,0,0
G22,732,430,-59,-57,-46,-48,-92,-88,-77,0,0,0
G22,732,430,-59,-56,-46,-48,0,0,0,0,0,0
G22,732,430,-58,-57,-46,-48,-95,-89,-77,0,0,0
G22,732,430,-59,-57,-45,-49,-92,-88,-79,0,0,0
G22,732,430,-58,-56,-46,-49,0,0,0,0,0,0
G22,732,430,-59,-56,-46,-48,-93,-89,-79,0,0,0
G22,732,430,-58,-56,-46,-50,0,0,0,0,0,0
G22,732,430,-59,-56,-45,-49,-91,-89,-76,0,0,0
G22,732,430,-60,-56,-46,-48,-92,-86,-77,0,0,0
G22,732,430,-59,-57,-46,-49,0,0,0,0,0,0
G22,732,430,-61,-56,-45,-49,-92,-89,-79,0,0,0
G22,732,430,-61,-57,-46,-49,-93,-90,-79,0,0,0
G22,732,430,-60,-57,-46,-48,0,0,0,0,0,0
G22,732,430,-60,-57,-45,-48,-93,-87,-79,0,0,0
G22,732,430,-59,-57,-45,-48,-93,-87,-78,0,0,0
G22,732,430,-59,-58,-46,-48,0,0,0,0,0,0
G22,732,430,-57,-57,-46,-48,-91,-89,-78,0,0,0
G22,732,430,-58,-58,-45,-48,0,0,0,0,0,0
G22,732,430,-59,-57,-46,-48,-92,-89,-77,0,0,0
G22,732,430,-60,-58,-45,-48,-92,-89,-77,0,0,0
G22,732,430,-58,-57,-46,-50,0,0,0,0,0,0
G22,732,430,-59,-57,-45,-48,-94,-85,-78,0,0,0
G22,732,430,-59,-57,-45,-48,-89,-90,-76,0,0,0
G22,732,430,-59,-57,-45,-48,0,0,0,0,0,0
G22,732,430,-59,-57,-45,-48,-92,-89,-77,0,0,0
G22,732,430,-59,-57,-45,-48,-92,-88,-77,0,0,0
