location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
A33,1042,430,-52,-45,-68,-57,-95,-94,-94,-94,-95,-95
A33,1042,430,-50,-47,-71,-56,0,0,0,0,0,0
A33,1042,430,-50,-45,-77,-58,0,0,0,0,0,0
A33,1042,430,-52,-45,-73,-55,0,-94,-91,0,0,0
A33,1042,430,-51,-44,-71,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-72,-57,0,-97,-93,0,0,0
A33,1042,430,-51,-45,-72,-57,0,0,-95,0,0,0
A33,1042,430,-51,-45,-73,-57,0,0,0,0,0,0
A33,1042,430,-51,-45,-73,-57,0,0,0,0,0,0
A33,1042,430,-52,-45,-71,-56,0,0,-95,0,0,0
A33,1042,430,-51,-45,-71,-56,0,0,0,0,0,0
A33,1042,430,-52,-45,-71,-56,0,-94,-95,0,0,0
A33,1042,430,-51,-44,-71,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-70,-57,0,0,-94,0,0,0
A33,1042,430,-51,-45,-71,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-71,-56,0,-94,-95,0,0,0
A33,1042,430,-51,-45,-71,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-71,-56,0,0,-94,0,0,0
A33,1042,430,-51,-45,-70,-56,0,0,0,0,0,0
A33,1042,430,-53,-45,-70,-56,0,-94,-93,0,0,0
A33,1042,430,-51,-45,-71,-57,0,0,-95,0,0,0
A33,1042,430,-51,-44,-71,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-70,-56,0,0,0,0,0,0
A33,1042,430,-51,-44,-69,-56,0,0,0,0,0,0
A33,1042,430,-52,-45,-70,-57,0,0,-93,0,0,0
A33,1042,430,-51,-44,-70,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-70,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-70,-56,0,-92,-93,0,0,0
A33,1042,430,-51,-44,-69,-56,0,0,0,0,0,0
A33,1042,430,-51,-44,-70,-56,0,-94,-93,0,0,0
A33,1042,430,-51,-44,-71,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-69,-56,0,0,-93,0,0,0
A33,1042,430,-51,-44,-69,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-69,-56,0,0,-93,0,0,0
A33,1042,430,-51,-45,-69,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-69,-56,0,0,0,0,0,0
A33,1042,430,-51,-44,-69,-56,0,0,-94,0,0,0
A33,1042,430,-51,-44,-69,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-69,-56,0,-95,-93,0,0,0
A33,1042,430,-52,-44,-70,-56,0,0,0,0,0,0
A33,1042,430,-51,-44,-70,-56,0,0,-94,0,0,0
A33,1042,430,-51,-45,-70,-56,0,0,-93,0,0,0
A33,1042,430,-51,-44,-70,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-71,-56,0,0,-93,0,0,0
A33,1042,430,-51,-44,-70,-56,0,0,0,0,0,0
A33,1042,430,-51,-44,-70,-56,0,-95,-95,0,0,0
A33,1042,430,-51,-45,-70,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-70,-56,0,-96,-92,0,0,0
A33,1042,430,-51,-44,-69,-56,0,0,0,0,0,0
A33,1042,430,-51,-44,-71,-56,0,-94,-95,0,0,0
A33,1042,430,-51,-45,-71,-56,0,-93,-96,0,0,0
A33,1042,430,-51,-45,-70,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-72,-56,0,0,-95,0,0,0
A33,1042,430,-51,-44,-71,-56,0,0,0,0,0,0
A33,1042,430,-52,-44,-71,-56,0,-93,-95,0,0,0
A33,1042,430,-51,-45,-71,-57,0,0,0,0,0,0
A33,1042,430,-51,-45,-71,-57,0,0,-93,0,0,0
A33,1042,430,-51,-45,-70,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-70,-56,0,0,0,0,0,0
A33,1042,430,-51,-44,-71,-57,0,0,-93,0,0,0
A33,1042,430,-51,-45,-69,-56,0,0,-94,0,0,0
A33,1042,430,-51,-45,-70,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-70,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-70,-56,0,0,-93,0,0,0
A33,1042,430,-51,-45,-70,-56,0,0,0,0,0,0
A33,1042,430,-51,-44,-70,-56,0,0,-93,0,0,0
A33,1042,430,-51,-44,-70,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-70,-56,0,0,-93,0,0,0
A33,1042,430,-51,-45,-70,-56,0,0,0,0,0,0
A33,1042,430,-52,-45,-70,-56,0,0,-91,0,0,0
A33,1042,430,-52,-44,-71,-56,0,0,0,0,0,0
A33,1042,430,-51,-45,-71,-56,0,0,-91,0,0,0
A33,1042,430,-51,-44,-71,-56,0,0,0,0,0,0
