location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
B19,647,400,-53,-47,-44,-51,-93,-92,-87,-93,0,-94
B19,647,400,-46,-49,-44,-50,-92,-88,-86,-95,0,0
B19,647,400,-48,-49,-44,-49,-92,-88,-86,0,0,0
B19,647,400,-49,-49,-43,-50,-92,-88,-86,0,0,0
B19,647,400,-49,-49,-42,-49,-93,-88,-86,0,0,0
B19,647,400,-49,-49,-42,-50,-94,-86,-84,0,0,0
B19,647,400,-49,-49,-41,-50,-92,-85,-84,0,0,0
B19,647,400,-49,-48,-42,-50,-92,-85,-84,0,0,0
B19,647,400,-49,-47,-41,-50,-92,0,-84,0,0,-96
B19,647,400,-49,-49,-41,-50,-93,-86,-86,0,0,0
B19,647,400,-49,-49,-41,-52,-91,-94,-82,0,0,0
B19,647,400,-49,-49,-42,-50,-92,-85,-84,0,0,-93
B19,647,400,-48,-49,-42,-50,-94,-81,-88,0,0,0
B19,647,400,-48,-49,-41,-50,-93,-86,-87,0,0,-92
B19,647,400,-49,-48,-41,-50,-92,-90,-84,0,0,-94
B19,647,400,-49,-49,-41,-50,-94,-85,-84,0,0,-96
B19,647,400,-48,-49,-42,-50,-92,-85,-85,0,0,0
B19,647,400,-48,-49,-41,-52,-95,-85,-86,0,0,0
B19,647,400,-49,-49,-42,-50,-92,-89,-86,0,0,0
B19,647,400,-49,-49,-41,-51,-90,-89,-85,0,0,0
B19,647,400,-49,-49,-41,-49,-91,-85,-85,0,0,0
B19,647,400,-49,-49,-42,-51,-93,-85,-86,0,0,0
B19,647,400,-49,-49,-42,-50,-93,-82,-86,0,0,0
B19,647,400,-48,-49,-42,-49,-91,-88,-86,0,0,-94
B19,647,400,-49,-49,-41,-50,-93,-86,-87,0,0,0
B19,647,400,-49,-49,-41,-50,-93,-85,-82,0,0,-98
B19,647,400,-48,-49,-41,-49,-92,-85,-85,0,0,0
B19,647,400,-49,-48,-41,-50,-91,-85,-85,-95,0,-95
B19,647,400,-49,-47,-41,-50,-91,-85,-84,0,0,-93
B19,647,400,-49,-48,-42,-50,-91,-85,-86,0,0,0
B19,647,400,-49,-47,-41,-50,-92,-88,-87,0,0,0
B19,647,400,-48,-49,-42,-49,-92,-87,-87,0,0,0
B19,647,400,-48,-49,-41,-51,-93,-84,-84,0,0,0
B19,647,400,-49,-49,-41,-50,-91,-85,-87,0,0,-94
B19,647,400,-49,-49,-41,-50,-93,-88,-87,0,0,-93
B19,647,400,-48,-49,-42,-49,-92,-86,-86,0,0,0
B19,647,400,-48,-49,-41,-51,-92,-86,-87,0,0,0
B19,647,400,-49,-49,-41,-49,-90,-87,-85,0,0,-95
B19,647,400,-49,-49,-42,-50,-92,-85,-87,0,0,0
B19,647,400,-49,-49,-41,-49,-90,-85,-86,0,0,0
B19,647,400,-48,-49,-41,-51,-91,-89,-86,0,0,0
B19,647,400,-49,-49,-42,-49,-91,-86,-86,0,0,0
B19,647,400,-49,-49,-41,-50,-92,-84,-86,0,0,-93
B19,647,400,-50,-49,-41,-49,-94,-87,-86,0,0,0
B19,647,400,-49,-48,-42,-50,-93,-88,-84,0,0,0
B19,647,400,-49,-49,-42,-49,-91,-86,-84,0,0,-94
B19,647,400,-49,-49,-42,-48,-92,-87,-85,0,0,0
B19,647,400,-49,-48,-42,-50,-95,-86,-84,0,0,0
B19,647,400,-49,-48,-41,-49,-91,-89,-84,0,0,-92
B19,647,400,-49,-48,-42,-50,-90,-84,-86,0,0,0
B19,647,400,-49,-48,-42,-49,-92,-84,-83,0,0,0
B19,647,400,-49,-48,-41,-50,-94,-85,-86,0,0,0
B19,647,400,-49,-48,-41,-49,-91,-86,-86,0,0,-95
B19,647,400,-49,-47,-42,-49,-91,-83,-85,0,0,0
B19,647,400,-49,-48,-41,-50,-91,-84,-86,-96,0,-96
B19,647,400,-49,-48,-41,-50,-93,-88,-86,0,0,-95
B19,647,400,-49,-48,-41,-50,-92,-90,-84,0,0,0
B19,647,400,-48,-48,-42,-50,-92,-85,-86,0,0,0
B19,647,400,-49,-48,-42,-50,-93,-82,-85,0,0,-95
B19,647,400,-49,-49,-41,-49,-90,-86,-86,0,0,0
B19,647,400,-49,-49,-42,-49,-92,-84,-86,0,0,-95
B19,647,400,-49,-49,-42,-49,0,-90,-86,0,0,0
B19,647,400,-49,-48,-42,-50,-92,-87,-85,0,0,-92
B19,647,400,-49,-48,-41,-50,-91,-87,-84,0,0,0
B19,647,400,-48,-49,-41,-50,-92,-89,-84,0,0,-94
B19,647,400,-49,-49,-42,-49,-93,-89,-82,0,0,0
B19,647,400,-49,-48,-41,-51,-93,-84,-84,0,0,0
B19,647,400,-49,-48,-41,-50,-90,-85,-84,0,0,-93
B19,647,400,-49,-48,-42,-50,-93,-85,-84,0,0,0
B19,647,400,-49,-49,-42,-50,-92,-88,-84,0,0,0
B19,647,400,-49,-48,-42,-49,-92,-87,-86,0,0,0
B19,647,400,-49,-48,-42,-50,-94,-85,-86,0,0,0
B19,647,400,-49,-48,-42,-50,-95,-87,-83,0,0,0
B19,647,400,-49,-48,-42,-51,-91,-87,-85,0,0,0
B19,647,400,-49,-48,-42,-49,-93,-86,-84,0,0,-94
B19,647,400,-48,-48,-42,-49,-94,-86,-85,0,0,-95
B19,647,400,-49,-48,-42,-50,-93,-85,-86,0,0,-94
B19,647,400,-49,-49,-41,-49,-90,-86,-86,0,0,0
