location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
C21,696,370,-40,-49,-39,-49,-92,-92,-92,-94,0,0
C21,696,370,-42,-49,-39,-48,0,-92,-86,0,0,0
C21,696,370,-42,-51,-39,-49,0,-93,-93,0,0,0
C21,696,370,-42,-51,-39,-49,0,-92,-92,0,0,0
C21,696,370,-42,-51,-39,-49,0,-91,-85,0,0,0
C21,696,370,-42,-51,-39,-49,-94,-90,-95,0,0,0
C21,696,370,-42,-51,-39,-48,0,-91,-91,0,0,0
C21,696,370,-42,-51,-39,-49,0,-94,-93,0,0,0
C21,696,370,-42,-51,-38,-50,-93,-91,-92,0,0,0
C21,696,370,-42,-51,-39,-49,0,-92,-93,0,0,0
C21,696,370,-42,-51,-39,-49,0,-92,-91,0,0,0
C21,696,370,-42,-51,-39,-49,-92,-94,-89,0,0,0
C21,696,370,-42,-52,-40,-49,0,-91,-86,0,0,0
C21,696,370,-42,-51,-39,-49,-96,-91,0,0,0,0
C21,696,370,-43,-51,-39,-49,-95,-92,-93,0,0,0
C21,696,370,-42,-51,-39,-48,-95,-93,-85,0,0,0
C21,696,370,-42,-52,-39,-48,-94,-93,-94,0,0,0
C21,696,370,-42,-52,-39,-48,-93,-92,-84,0,0,0
C21,696,370,-43,-51,-39,-49,-93,-92,-85,0,0,0
C21,696,370,-42,-50,-39,-49,-94,-93,-86,0,0,0
C21,696,370,-42,-51,-38,-48,-93,-92,-85,0,0,0
C21,696,370,-42,-51,-38,-48,0,-92,-91,0,0,0
C21,696,370,-42,-51,-39,-48,-94,-91,-86,0,0,0
C21,696,370,-42,-51,-39,-49,-94,-91,-89,0,0,0
C21,696,370,-42,-52,-38,-48,0,-95,-94,0,0,0
C21,696,370,-43,-51,-39,-49,0,-92,-92,0,0,0
C21,696,370,-42,-51,-39,-49,-94,-90,-89,0,0,0
C21,696,370,-42,-51,-39,-49,-94,-93,-93,0,0,0
C21,696,370,-42,-51,-39,-49,-92,-93,-85,0,0,0
C21,696,370,-43,-51,-40,-48,-94,-91,-92,0,0,0
C21,696,370,-43,-52,-39,-50,-93,-91,-85,0,0,0
C21,696,370,-45,-51,-39,-49,0,-93,-84,0,0,0
C21,696,370,-44,-51,-41,-50,-92,-93,-92,0,0,0
C21,696,370,-42,-51,-39,-49,-95,-91,-93,0,0,0
C21,696,370,-42,-51,-39,-49,0,-91,-85,0,0,0
C21,696,370,-42,-50,-39,-49,-93,-92,-91,0,0,0
C21,696,370,-41,-50,-38,-49,-93,-93,-85,0,0,0
C21,696,370,-42,-50,-39,-48,-95,-91,-93,0,0,0
C21,696,370,-42,-51,-38,-49,-93,0,-87,0,0,0
C21,696,370,-42,-51,-39,-49,0,-93,-92,0,0,0
C21,696,370,-42,-51,-39,-49,-92,-92,-87,0,0,0
C21,696,370,-42,-51,-39,-49,-94,-92,-93,0,0,0
C21,696,370,-42,-51,-39,-49,0,-92,-85,0,0,0
C21,696,370,-42,-51,-39,-49,0,-92,-94,0,0,0
C21,696,370,-42,-50,-38,-49,0,-93,-85,0,0,0
C21,696,370,-42,-51,-39,-49,0,-92,-92,0,0,0
C21,696,370,-42,-51,-39,-49,-94,-93,-85,0,0,0
C21,696,370,-42,-50,-39,-48,0,-92,-85,0,0,0
C21,696,370,-42,-51,-38,-48,-94,-91,-92,0,0,0
C21,696,370,-42,-51,-39,-49,-93,-92,-93,0,0,0
C21,696,370,-42,-50,-39,-48,-93,-93,-93,0,0,0
C21,696,370,-42,-50,-39,-49,-94,-93,-92,0,0,0
C21,696,370,-42,-50,-39,-48,-93,-91,-91,0,0,0
C21,696,370,-42,-51,-39,-48,-95,-92,-86,0,0,0
C21,696,370,-42,-51,-39,-48,-94,-94,-85,0,0,0
C21,696,370,-41,-51,-39,-48,-93,-92,-90,0,0,0
C21,696,370,-42,-51,-39,-48,0,-91,-93,0,0,0
C21,696,370,-42,-51,-39,-49,-96,-92,-82,0,0,0
C21,696,370,-42,-51,-39,-49,-93,-91,-92,0,0,0
C21,696,370,-42,-51,-38,-48,-92,-89,-89,0,0,0
C21,696,370,-41,-51,-39,-48,-93,-92,-94,0,0,0
C21,696,370,-41,-51,-39,-49,0,-93,-86,0,0,0
C21,696,370,-42,-50,-39,-49,0,-91,-93,0,0,0
C21,696,370,-42,-51,-39,-49,-96,-92,-85,0,0,0
C21,696,370,-42,-51,-39,-48,-96,-93,-85,0,0,0
C21,696,370,-42,-52,-39,-48,-94,-90,-92,0,0,0
