location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
D39,1203,334,-70,-35,-76,-82,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-68,-35,-77,-88,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-89,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-88,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-82,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-85,0,0,0,0,0,0
D39,1203,334,-68,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-68,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-88,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-88,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-87,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-88,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-81,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-82,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-81,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-87,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-80,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-86,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-87,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-82,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-88,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-90,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-71,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-98,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-82,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-81,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-88,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-83,0,0,0,0,0,0
D39,1203,334,-69,-35,-74,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-74,-82,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-82,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-82,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-82,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-83,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-82,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-87,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-87,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-87,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-87,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-86,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-87,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-87,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-88,0,0,0,0,0,0
D39,1203,334,-70,-36,-75,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-82,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-88,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-87,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-88,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-87,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-87,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-83,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-81,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-82,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-87,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-88,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-87,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-86,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-71,-35,-77,-88,0,0,0,0,0,0
D39,1203,334,-71,-35,-77,-87,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-87,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-89,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-87,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-87,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-84,0,0,0,0,0,0
D39,1203,334,-70,-34,-76,-88,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-88,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-86,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-88,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-88,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-91,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-86,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-92,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-89,0,0,0,0,0,0
D39,1203,334,-68,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-84,0,0,0,0,0,0
D39,1203,334,-70,-33,-76,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-83,0,0,0,0,0,0
D39,1203,334,-69,-35,-75,-83,0,0,0,0,0,0
D39,1203,334,-68,-35,-75,-85,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-82,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-71,-35,-77,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-75,-83,0,0,0,0,0,0
D39,1203,334,-70,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-68,-35,-75,-87,0,0,0,0,0,0
D39,1203,334,-68,-35,-75,-82,0,0,0,0,0,0
D39,1203,334,-69,-35,-76,-84,0,0,0,0,0,0
D39,1203,334,-69,-35,-77,-84,0,0,0,0,0,0
D39,1203,334,-69,-34,-74,-85,0,0,0,0,0,0
D39,1203,334,-70,-35,-74,-84,0,0,0,0,0,0
