locatioR,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
D40RR,1237,334,-69,-33,-76,-70,0,0,0,0,0,0
D40RR,1237,334,-70,-35,-69,-68,0,0,0,0,0,0
D40RR,1237,334,-69,-36,-68,-67,0,0,0,0,0,0
D40RR,1237,334,-69,-42,-56,-62,0,0,0,0,0,0
D40RR,1237,334,-66,-39,-61,-75,-96,-93,-87,0,0,-95
D40RR,1237,334,-65,-39,-67,-69,0,0,0,0,0,0
D40RR,1237,334,-65,-39,-67,-69,0,0,0,0,0,0
D40RR,1237,334,-65,-38,-68,-69,0,0,0,0,0,0
D40RR,1237,334,-66,-38,-66,-69,0,0,0,0,0,0
D40RR,1237,334,-66,-38,-67,-69,0,0,0,0,0,0
D40RR,1237,334,-66,-39,-67,-70,0,0,0,0,0,0
D40RR,1237,334,-64,-38,-67,-69,0,0,0,0,0,0
D40RR,1237,334,-65,-38,-67,-70,0,0,0,0,0,0
D40RR,1237,334,-66,-39,-67,-70,0,0,0,0,0,0
D40RR,1237,334,-66,-39,-67,-70,0,0,0,0,0,0
D40RR,1237,334,-63,-39,-66,-70,0,0,0,0,0,0
D40RR,1237,334,-65,-38,-67,-70,0,0,0,0,0,0
D40RR,1237,334,-65,-39,-67,-69,0,0,0,0,0,0
D40RR,1237,334,-66,-39,-67,-69,0,0,0,0,0,0
D40RR,1237,334,-66,-39,-67,-69,0,0,0,0,0,0
D40RR,1237,334,-65,-39,-67,-69,0,0,0,0,0,0
D40RR,1237,334,-65,-39,-67,-69,0,0,0,0,0,0
D40RR,1237,334,-66,-39,-66,-69,0,0,0,0,0,0
D40RR,1237,334,-65,-38,-67,-69,0,0,0,0,0,0
D40RR,1237,334,-66,-39,-67,-69,0,0,0,0,0,0
D40RR,1237,334,-65,-39,-67,-69,0,0,0,0,0,0
D40RR,1237,334,-64,-39,-66,-70,0,0,0,0,0,0
D40RR,1237,334,-64,-39,-67,-69,0,0,0,0,0,0
