location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
A40,1237,239,-58,-40,-60,-61,0,0,0,0,0,0
A40,1237,239,-59,-42,-58,-62,0,0,0,0,0,0
A40,1237,239,-57,-41,-59,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-63,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-63,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-57,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-60,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-63,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-63,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-57,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-57,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-42,-57,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-57,-41,-58,-63,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-63,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-60,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-59,-42,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-57,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-59,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-63,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-59,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-57,-64,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-42,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-63,0,0,0,0,0,0
A40,1237,239,-58,-40,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A40,1237,239,-58,-41,-58,-62,0,0,0,0,0,0
A39,1203,239,-57,-41,-63,-61,0,0,0,0,0,0
A39,1203,239,-58,-41,-64,-61,0,0,0,0,0,0
A39,1203,239,-56,-41,-62,-61,0,0,0,0,0,0
A39,1203,239,-56,-41,-65,-61,0,0,0,0,0,0
A39,1203,239,-55,-41,-65,-62,0,0,0,0,0,0
A39,1203,239,-55,-41,-63,-61,0,0,0,0,0,0
A39,1203,239,-55,-41,-63,-61,0,0,0,0,0,0
A39,1203,239,-55,-41,-63,-61,0,0,0,0,0,0
