C20,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
C20,672,303,-45,-53,-40,-52,-95,-92,-86,-93,0,-93
C20,672,303,-46,-49,-40,-60,-93,-93,-82,0,0,-94
C20,672,303,-43,-51,-41,-57,-96,-91,-88,0,0,-93
C20,672,303,-45,-51,-41,-58,-96,-91,-91,0,0,-94
C20,672,303,-45,-51,-40,-59,-94,-90,-90,0,0,-94
C20,672,303,-44,-51,-41,-57,0,-91,0,0,0,-93
C20,672,303,-45,-51,-40,-58,-94,-92,-88,0,0,-94
C20,672,303,-45,-51,-41,-57,-92,-93,-84,0,0,-93
C20,672,303,-45,-51,-40,-58,-95,-92,-89,0,0,-94
C20,672,303,-45,-51,-40,-58,-93,-91,-88,0,0,-94
C20,672,303,-44,-51,-41,-58,-94,-92,-83,0,0,-94
C20,672,303,-45,-51,-40,-58,-95,-91,-90,0,0,-95
C20,672,303,-45,-51,-40,-58,-96,-91,-89,0,0,-92
C20,672,303,-45,-51,-40,-58,-94,0,-83,0,0,-94
C20,672,303,-45,-52,-40,-58,-98,-92,-89,-92,0,0
C20,672,303,-45,-50,-40,-57,-95,0,-83,0,0,-94
C20,672,303,-45,-51,-40,-57,0,0,-88,0,0,-93
C20,672,303,-45,-50,-40,-57,0,-92,-89,0,0,-93
C20,672,303,-45,-51,-40,-58,-93,-90,-88,0,0,-95
C20,672,303,-45,-51,-40,-58,-95,-91,-89,0,0,-94
C20,672,303,-45,-51,-40,-57,-94,0,-83,0,0,-96
C20,672,303,-45,-50,-40,-58,-94,-93,-87,0,0,-94
C20,672,303,-45,-51,-40,-59,-94,-91,-83,0,0,-95
C20,672,303,-45,-51,-40,-58,-95,0,-83,0,0,-95
C20,672,303,-45,-50,-40,-58,0,-91,-88,0,0,-96
C20,672,303,-45,-50,-40,-57,0,0,0,0,0,0
C20,672,303,-45,-51,-40,-58,-95,-91,0,0,0,-93
C20,672,303,-45,-50,-40,-58,0,-90,-90,-93,0,-92
C20,672,303,-45,-51,-40,-58,0,-92,-83,-94,0,-93
C20,672,303,-45,-51,-40,-58,-93,0,-90,0,0,-94
C20,672,303,-45,-50,-40,-58,-91,-92,-88,0,0,-96
C20,672,303,-45,-51,-40,-58,-92,-92,-82,0,0,-93
C20,672,303,-45,-50,-40,-58,-94,0,-89,0,0,-94
C20,672,303,-45,-51,-39,-58,0,-92,-92,0,0,-98
C20,672,303,-45,-51,-40,-58,0,-90,-89,0,0,-95
C20,672,303,-45,-50,-39,-58,-93,-94,-90,-92,0,-91
C20,672,303,-45,-51,-40,-58,0,-91,-82,-94,0,0
C20,672,303,-46,-50,-41,-58,0,-91,-83,0,0,0
C20,672,303,-45,-50,-41,-58,0,-92,-92,0,0,0
C20,672,303,-45,-50,-41,-58,0,-91,-86,-94,0,0
C20,672,303,-45,-50,-40,-59,0,-89,-88,-96,0,0
C20,672,303,-45,-50,-40,-59,0,-90,-83,0,0,0
C20,672,303,-45,-50,-39,-58,0,-90,-89,-94,0,0
C20,672,303,-45,-50,-40,-58,0,-92,-87,-93,0,-95
C20,672,303,-45,-50,-39,-58,0,-91,-82,0,0,0
C20,672,303,-45,-50,-40,-59,0,-93,-89,-95,0,0
C20,672,303,-45,-51,-41,-58,-94,-91,-90,0,0,0
C20,672,303,-45,-50,-40,-58,0,-92,-83,-95,0,0
C20,672,303,-45,-51,-40,-59,0,-93,-90,0,0,0
C20,672,303,-44,-51,-40,-59,-94,-92,-88,0,0,-93
C20,672,303,-44,-50,-40,-58,0,-93,-83,0,0,0
C20,672,303,-44,-51,-40,-58,-96,-93,-89,0,0,-94
C20,672,303,-45,-51,-39,-58,-94,-91,-88,0,0,-93
C20,672,303,-45,-51,-40,-58,0,-91,-89,0,0,-95
C20,672,303,-45,-51,-40,-58,0,-90,-84,0,0,-94
C20,672,303,-45,-51,-40,-58,-95,-92,-90,0,0,-93
C20,672,303,-45,-52,-40,-58,0,-92,-89,0,0,0
C20,672,303,-44,-52,-40,-59,-94,-93,-90,0,0,-94
C20,672,303,-45,-51,-40,-59,0,-92,-83,0,0,-97
C20,672,303,-45,-51,-41,-59,0,-91,-83,-92,0,0
C20,672,303,-45,-52,-41,-60,0,-94,-90,0,0,0
C20,672,303,-45,-51,-40,-58,0,-92,-90,0,0,0
C20,672,303,-46,-51,-40,-58,-94,-92,-89,0,0,0
C20,672,303,-45,-51,-40,-58,-97,-92,-82,0,0,-95
C20,672,303,-45,-51,-40,-58,0,-91,-91,0,0,-94
C20,672,303,-45,-51,-40,-58,-94,-92,-88,0,0,-95
C20,672,303,-45,-51,-40,-58,0,-92,-89,0,0,0
C20,672,303,-45,-51,-40,-58,0,-91,-91,0,0,0
C20,672,303,-46,-53,-40,-58,-95,-93,-85,0,0,0
C20,672,303,-45,-51,-40,-58,0,-92,-83,0,0,-94
C20,672,303,-46,-51,-40,-58,0,-93,-89,0,0,-94
C20,672,303,-46,-51,-40,-59,0,-91,-88,-92,0,-93
C20,672,303,-45,-51,-40,-58,-93,-92,-90,-97,0,-96
C20,672,303,-45,-51,-41,-58,0,-90,-88,0,0,-93
C20,672,303,-45,-51,-40,-58,-94,-91,-88,-93,0,0
C20,672,303,-45,-51,-40,-59,0,-92,-90,0,0,0
C20,672,303,-46,-51,-40,-58,0,-92,-83,0,0,0
C20,672,303,-45,-51,-41,-60,-95,-89,-90,-93,0,-92
C20,672,303,-45,-50,-40,-58,0,-89,-88,0,0,-95
C20,672,303,-45,-52,-40,-59,0,-92,-89,0,0,0
C20,672,303,-45,-52,-41,-59,0,-91,-84,-95,0,-93
C20,672,303,-45,-51,-41,-57,0,-91,-83,0,0,0
C20,672,303,-46,-51,-41,-57,0,-93,-89,0,0,0
C20,672,303,-46,-50,-40,-57,0,-90,-90,0,0,0
C20,672,303,-47,-50,-40,-57,0,-94,-87,0,0,0
C20,672,303,-45,-50,-40,-57,0,-91,-83,0,0,0
C20,672,303,-45,-51,-40,-58,0,-91,-88,0,0,0
C20,672,303,-46,-51,-40,-58,0,-92,-88,0,0,0
C20,672,303,-44,-50,-40,-57,0,-92,-88,0,0,0
C20,672,303,-46,-50,-40,-58,0,-91,-88,0,0,-93
C20,672,303,-45,-51,-40,-59,-96,-91,-82,0,0,0
C20,672,303,-47,-51,-40,-58,0,-93,-90,-93,0,0
C20,672,303,-46,-50,-40,-58,0,-91,-90,0,0,0
C20,672,303,-46,-50,-41,-58,0,-93,-89,0,0,0
C20,672,303,-46,-51,-40,-59,0,-92,-82,0,0,0
C20,672,303,-45,-51,-40,-57,0,-92,-87,0,0,0
C20,672,303,-45,-51,-40,-58,0,-92,-89,0,0,0
C20,672,303,-45,-52,-40,-58,0,-90,-88,0,0,0
C20,672,303,-45,-51,-41,-59,0,-90,-83,0,0,0
C20,672,303,-46,-51,-41,-58,0,-93,-87,0,0,0
C20,672,303,-46,-51,-41,-58,0,-91,-89,0,0,0
C20,672,303,-45,-51,-40,-58,0,-91,-88,0,0,0
C20,672,303,-45,-51,-40,-57,0,-93,-88,0,0,0
C20,672,303,-46,-52,-39,-58,0,-91,-90,0,0,0
C20,672,303,-45,-51,-40,-57,0,-90,-90,0,0,0
C20,672,303,-47,-51,-40,-57,0,-91,-88,0,0,0
C20,672,303,-45,-51,-40,-57,0,-91,-90,0,0,-95
C20,672,303,-45,-51,-40,-57,-96,-93,-89,0,0,-93
C20,672,303,-45,-51,-40,-56,-94,-89,-83,-95,0,-94
C20,672,303,-45,-51,-40,-57,-93,-93,-89,0,0,0
C20,672,303,-44,-52,-41,-57,-94,-92,-89,0,0,0
C20,672,303,-46,-51,-41,-57,-94,-92,-87,0,0,-93
C20,672,303,-46,-52,-40,-57,0,-89,-89,0,0,-95
C20,672,303,-45,-52,-40,-58,0,-92,-89,0,0,0
C20,672,303,-46,-52,-40,-58,-96,-91,-88,0,0,-92
C20,672,303,-45,-52,-40,-58,0,-91,-83,0,0,-94
C20,672,303,-46,-51,-40,-59,0,-91,-83,-93,0,0
C20,672,303,-46,-52,-40,-57,-97,-92,-88,0,0,-94
C20,672,303,-46,-51,-41,-57,0,-94,-88,0,0,0
C20,672,303,-44,-51,-40,-57,-92,-92,-84,0,0,-94
C20,672,303,-45,-51,-41,-57,0,-92,-83,0,0,-92
C20,672,303,-45,-51,-40,-58,0,-91,-88,0,0,0
C20,672,303,-46,-50,-40,-57,-95,-90,-90,0,0,0
C20,672,303,-45,-51,-40,-58,-93,-92,-83,0,0,-96
C20,672,303,-45,-51,-40,-57,-92,-92,-88,0,0,-96
C20,672,303,-46,-51,-40,-57,-93,-91,-83,0,0,0
C20,672,303,-46,-51,-40,-57,-93,-93,-87,0,0,-95
C20,672,303,-45,-51,-40,-57,-93,-91,-84,-93,0,0
C20,672,303,-46,-51,-40,-57,-95,-93,-88,0,0,0
C20,672,303,-45,-50,-41,-57,0,-92,-88,-94,0,-94
C20,672,303,-45,-51,-40,-58,0,-91,-88,0,0,-95
C20,672,303,-46,-51,-40,-57,-97,-90,-83,0,0,0
C20,672,303,-45,-50,-41,-59,0,-91,-82,0,0,-92
C20,672,303,-46,-50,-41,-58,-92,-94,-89,0,0,-96
C20,672,303,-46,-50,-40,-57,-95,-92,-84,0,0,-93
C20,672,303,-46,-52,-40,-60,-95,-92,-81,0,0,0
C20,672,303,-45,-51,-40,-58,-95,-90,-82,0,0,0
C20,672,303,-45,-50,-40,-57,0,-93,-90,0,0,-93
C20,672,303,-46,-50,-40,-57,-93,-91,-89,0,0,-94
C20,672,303,-45,-50,-41,-57,-93,-93,-89,0,0,-92
C20,672,303,-46,-50,-40,-60,-93,-91,-83,0,0,-94
C20,672,303,-45,-50,-40,-56,-94,-91,-81,-93,0,-94
C20,672,303,-46,-50,-40,-59,-94,-92,-83,-94,0,-94
C20,672,303,-45,-51,-39,-57,-95,-92,-90,-94,0,0
C20,672,303,-46,-51,-40,-57,-92,-93,-83,-94,0,-95
C20,672,303,-45,-51,-40,-58,-94,-91,-83,-95,0,-94
C20,672,303,-45,-50,-39,-61,-93,-92,-83,0,0,-93
C20,672,303,-45,-51,-40,-58,0,-92,-83,0,0,0
C20,672,303,-45,-52,-39,-59,-93,-92,-83,0,0,-94
C20,672,303,-45,-51,-39,-59,-94,-92,-83,0,0,-94
C20,672,303,-46,-51,-40,-58,0,-91,-83,0,0,0
