location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
C40,1233,303,-71,-33,-66,-63,0,0,0,0,0,0
C40,1233,303,-74,-32,-65,-61,0,0,0,0,0,0
C40,1233,303,-73,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-69,-33,-64,-62,0,0,0,0,0,0
C40,1233,303,-68,-33,-64,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-62,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-71,-33,-62,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-62,-63,0,0,0,0,0,0
C40,1233,303,-69,-33,-62,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-62,-62,0,0,0,0,0,0
C40,1233,303,-71,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-67,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-69,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-72,-33,-64,-61,0,0,0,0,0,0
C40,1233,303,-69,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-69,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-65,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-69,-33,-65,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-60,0,0,0,0,0,0
C40,1233,303,-70,-33,-64,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-64,-62,0,0,0,0,0,0
C40,1233,303,-69,-33,-65,-62,0,0,0,0,0,0
C40,1233,303,-69,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-64,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-69,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-65,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-65,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-69,-32,-63,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-69,-33,-64,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-64,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-65,-62,0,0,0,0,0,0
C40,1233,303,-69,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-69,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-69,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-69,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-64,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-69,-33,-62,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-62,0,0,0,0,0,0
C40,1233,303,-70,-33,-63,-61,0,0,0,0,0,0
C40,1233,303,-70,-33,-62,-61,0,0,0,0,0,0
