location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
F2,169,272,-47,-74,-77,-66,0,0,0,-86,-85,-93
F2,169,272,-47,-73,-70,-63,0,0,0,0,-86,-94
F2,169,272,-47,-73,-75,-65,0,0,0,-86,-82,0
F2,169,272,-46,-72,-70,-63,-94,0,0,-85,-84,-92
F2,169,272,-47,-71,-72,-65,0,0,0,-86,-86,0
F2,169,272,-47,-70,-72,-63,0,0,0,-85,-84,-89
F2,169,272,-47,-72,-71,-63,0,0,0,-85,-85,-94
F2,169,272,-47,-72,-71,-63,0,0,0,-85,-84,0
F2,169,272,-47,-72,-72,-63,0,0,0,-85,-83,-91
F2,169,272,-48,-72,-72,-63,0,0,0,-85,-82,-92
F2,169,272,-48,-72,-72,-63,0,0,0,-86,-85,-93
F2,169,272,-48,-72,-72,-63,0,0,0,-86,-83,-92
F2,169,272,-48,-71,-74,-63,0,0,0,-86,-85,0
F2,169,272,-48,-72,-73,-63,0,0,0,-86,-84,-91
F2,169,272,-48,-71,-73,-62,0,0,0,-86,-82,0
F2,169,272,-48,-71,-73,-63,0,0,0,-85,-83,-89
F2,169,272,-48,-71,-74,-62,0,0,0,-86,-84,-90
F2,169,272,-48,-71,-74,-63,0,0,0,-88,-82,-88
F2,169,272,-48,-71,-74,-63,0,0,0,-87,-85,-93
F2,169,272,-48,-71,-73,-63,0,0,0,0,0,-88
F2,169,272,-47,-71,-72,-63,0,0,0,-88,-83,0
F2,169,272,-47,-72,-72,-63,0,0,0,-87,-86,-89
F2,169,272,-47,-72,-72,-63,0,0,0,-87,-83,-93
F2,169,272,-47,-72,-73,-63,0,0,0,-85,-85,-92
F2,169,272,-48,-72,-72,-62,0,0,0,-85,-81,-93
F2,169,272,-48,-72,-72,-63,0,0,0,-87,-84,-89
F2,169,272,-48,-72,-74,-63,0,0,0,-84,-83,-92
F2,169,272,-48,-74,-73,-63,0,0,0,-85,-86,-91
F2,169,272,-48,-71,-73,-65,0,0,0,-85,-85,-94
F2,169,272,-49,-72,-73,-63,0,0,0,-85,-85,-89
F2,169,272,-48,-71,-73,-63,0,0,0,-85,-85,-93
F2,169,272,-48,-73,-73,-63,0,0,0,-87,-84,-92
F2,169,272,-48,-72,-73,-63,0,0,0,-88,-81,-92
F2,169,272,-49,-73,-73,-63,0,0,0,-85,-84,-94
F2,169,272,-48,-72,-72,-63,0,0,0,-86,-84,-89
F2,169,272,-48,-72,-73,-63,0,0,0,-88,-82,-90
F2,169,272,-48,-72,-72,-63,0,0,0,-86,-84,0
F2,169,272,-48,-72,-73,-62,0,0,0,-86,-85,-88
F2,169,272,-48,-72,-72,-63,0,0,0,-86,-83,-89
F2,169,272,-48,-73,-74,-63,0,0,0,-87,-85,-90
F2,169,272,-48,-72,-72,-63,0,0,0,-87,-84,-92
F2,169,272,-48,-72,-72,-63,0,0,0,-86,-83,-89
F2,169,272,-47,-71,-74,-63,0,0,0,-86,-84,0
F2,169,272,-48,-72,-74,-63,0,0,0,-86,-85,-91
F2,169,272,-48,-72,-73,-63,0,0,0,-86,-83,0
F2,169,272,-47,-72,-73,-63,0,0,0,-86,-86,-87
F2,169,272,-48,-72,-74,-63,0,0,0,-85,-81,-88
F2,169,272,-48,-72,-74,-63,0,0,0,-86,-84,-94
F2,169,272,-48,-71,-75,-63,0,0,0,-86,-84,-90
F2,169,272,-48,-72,-71,-63,0,0,0,-85,-82,-93
F2,169,272,-48,-72,-72,-63,0,0,0,-84,-85,0
F2,169,272,-47,-72,-73,-63,0,0,0,-85,-84,-94
F2,169,272,-47,-73,-73,-63,0,0,0,-86,-83,0
F2,169,272,-47,-72,-72,-64,-96,0,0,-86,-83,-94
F2,169,272,-48,-72,-72,-63,0,0,0,-87,-85,-92
F2,169,272,-47,-72,-72,-63,0,0,0,-87,-83,-89
F2,169,272,-48,-72,-73,-63,0,0,0,-88,-86,-92
F2,169,272,-48,-72,-72,-63,0,0,0,-87,-84,-92
F2,169,272,-48,-72,-72,-63,0,0,0,-87,-85,-87
F2,169,272,-48,-72,-72,-62,0,0,0,-88,-85,-96
F2,169,272,-49,-73,-72,-63,0,0,0,-88,-84,-90
F2,169,272,-49,-72,-73,-63,0,0,0,-86,-84,-89
F2,169,272,-48,-72,-72,-63,0,0,0,-86,-83,-91
F2,169,272,-48,-72,-72,-63,0,0,0,-86,-89,-92
F2,169,272,-48,-73,-75,-63,0,0,0,-88,-85,-94
F2,169,272,-48,-72,-75,-63,0,0,0,-87,-83,-89
F2,169,272,-49,-72,-73,-63,0,0,0,-87,-83,-89
F2,169,272,-48,-71,-72,-63,0,0,0,-86,-84,-94
F2,169,272,-48,-72,-72,-63,0,0,0,-86,-84,-90
F2,169,272,-48,-71,-73,-63,0,0,0,-86,-85,-90
F2,169,272,-48,-71,-73,-63,0,0,0,-86,-83,-91
F2,169,272,-47,-72,-73,-64,0,0,0,-87,-82,-93
F2,169,272,-47,-72,-73,-63,0,0,0,-85,-86,-90
F2,169,272,-48,-72,-72,-63,0,0,0,-85,-85,-89
F2,169,272,-48,-72,-73,-63,0,0,0,-86,-85,-92
F2,169,272,-48,-72,-72,-63,0,0,0,-87,-83,-92
F2,169,272,-49,-72,-72,-63,0,0,0,0,-85,-93
F2,169,272,-48,-72,-72,-63,0,0,0,-88,-85,-91
F2,169,272,-48,-72,-73,-63,0,0,0,-88,-85,0
F2,169,272,-48,-72,-72,-63,0,0,0,-88,-83,-92
F2,169,272,-48,-72,-72,-63,0,0,0,-87,-84,-86
F2,169,272,-48,-72,-72,-63,0,0,0,-85,-85,-91
F2,169,272,-48,-72,-72,-63,0,0,0,-85,-85,-91
F2,169,272,-48,-71,-72,-63,0,0,0,-86,-83,-87
F2,169,272,-48,-72,-72,-63,0,0,0,-86,-84,-90
F2,169,272,-48,-72,-72,-63,0,0,0,-86,-84,-92
F2,169,272,-48,-72,-73,-63,0,0,0,-85,-85,-92
F2,169,272,-48,-72,-72,-63,0,0,0,-85,-83,-90
F2,169,272,-48,-72,-71,-63,0,0,0,-85,0,0
F2,169,272,-48,-72,-72,-63,0,0,0,-86,-90,-88
F2,169,272,-48,-72,-72,-63,0,0,0,-86,-85,0
F2,169,272,-48,-72,-73,-63,0,0,0,-85,-83,-89
F2,169,272,-48,-72,-72,-63,0,0,0,-86,-85,-91
