location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
G13,481,237,-51,-54,-46,-64,-96,0,-90,-84,-93,-94
G13,481,237,-50,-55,-41,-60,0,0,-94,-88,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-95,-88,-94,-95
G13,481,237,-49,-54,-41,-58,0,0,-93,-86,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-96,-87,-94,0
G13,481,237,-50,-54,-41,-58,0,0,-94,-86,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-97,-87,-93,-93
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,-91,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,-94,-93
G13,481,237,-50,-54,-41,-58,0,0,-94,0,-95,0
G13,481,237,-50,-54,-41,-58,0,0,-95,0,-94,0
G13,481,237,-50,-54,-41,-58,0,0,-94,0,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-92,0,-93,0
G13,481,237,-50,-54,-42,-58,0,0,-94,0,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-94,-88,-93,-92
G13,481,237,-50,-54,-41,-59,0,0,-96,-86,-94,0
G13,481,237,-50,-54,-41,-58,0,0,-94,-86,-94,-94
G13,481,237,-50,-54,-41,-58,0,0,-92,-87,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,0,0
G13,481,237,-50,-54,-41,-59,0,0,-94,-86,-97,-93
G13,481,237,-51,-54,-41,-58,0,0,-95,-86,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-92,-88,-95,0
G13,481,237,-50,-54,-41,-60,0,0,-93,-87,-93,-92
G13,481,237,-50,-54,-41,-58,0,0,-94,-86,-95,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-88,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,-92,0
G13,481,237,-50,-54,-41,-59,0,0,-94,-86,-94,-92
G13,481,237,-49,-54,-41,-58,0,0,-91,-87,-93,0
G13,481,237,-49,-54,-41,-58,0,0,-94,-88,-94,-94
G13,481,237,-49,-54,-41,-58,0,0,-93,-87,-93,0
G13,481,237,-50,-54,-42,-58,0,0,-94,-86,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-96,-86,-92,0
G13,481,237,-49,-54,-41,-58,0,0,-93,-87,-95,0
G13,481,237,-50,-54,-41,-59,0,0,-93,-92,-94,0
G13,481,237,-50,-54,-41,-58,0,0,-94,0,-95,0
G13,481,237,-50,-54,-41,-58,0,0,-92,0,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-89,-94,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-91,0,-93,0
G13,481,237,-50,-54,-42,-58,0,0,-94,-88,-95,-93
G13,481,237,-50,-54,-41,-58,0,0,-94,-87,-92,0
G13,481,237,-50,-54,-41,-59,0,0,-94,-87,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-92,-88,-94,-93
G13,481,237,-50,-54,-41,-58,0,0,-94,-87,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-91,-87,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-95,-87,-91,0
G13,481,237,-50,-54,-41,-59,0,0,-92,-87,-93,0
G13,481,237,-49,-54,-41,-58,0,0,-93,-87,-94,0
G13,481,237,-50,-54,-41,-58,0,0,-91,-88,-94,0
G13,481,237,-50,-54,-41,-58,0,0,-92,-87,-92,-93
G13,481,237,-50,-54,-41,-59,0,0,-94,-93,-91,0
G13,481,237,-50,-54,-42,-58,0,0,-95,-86,-93,0
G13,481,237,-50,-54,-41,-58,0,-93,-94,-87,-95,0
G13,481,237,-50,-54,-41,-58,0,-93,0,-88,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-94,-86,-93,-93
G13,481,237,-51,-54,-41,-58,0,0,-93,-86,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-92,0,-95,0
G13,481,237,-51,-54,-41,-58,0,0,-95,-86,-92,-94
G13,481,237,-50,-54,-41,-58,0,0,-90,0,-94,-92
G13,481,237,-50,-54,-41,-58,0,0,-95,0,-93,0
G13,481,237,-50,-54,-41,-58,0,-91,-93,-87,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-95,-87,-92,-93
G13,481,237,-50,-54,-41,-58,0,0,-94,-86,-95,0
G13,481,237,-51,-54,-41,-58,0,0,-93,-87,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,-92,-93
G13,481,237,-50,-54,-41,-58,0,0,-94,-87,-94,-93
G13,481,237,-50,-54,-41,-58,0,0,-93,-88,-92,0
G13,481,237,-51,-54,-41,-58,0,0,-93,-85,-94,0
G13,481,237,-51,-54,-41,-58,0,0,-93,-86,-93,-94
G13,481,237,-50,-54,-41,-60,0,0,-93,-87,-94,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-88,-93,0
G13,481,237,-49,-54,-42,-59,0,-92,-91,-87,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,0,0
G13,481,237,-50,-54,-41,-58,0,0,-93,0,-93,-93
G13,481,237,-50,-54,-41,-58,0,0,-93,0,-92,0
G13,481,237,-50,-54,-41,-59,0,0,-93,0,0,0
G13,481,237,-50,-54,-42,-58,0,0,-93,-88,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,-93,-93
G13,481,237,-49,-54,-41,-58,0,0,-94,-86,-94,-92
G13,481,237,-50,-54,-41,-59,0,0,-94,-87,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-94,-87,-91,-95
G13,481,237,-50,-54,-41,-58,0,-93,-95,-87,-95,-95
G13,481,237,-50,-53,-41,-58,0,0,0,-87,-93,0
G13,481,237,-50,-54,-41,-58,0,-92,-94,-87,-93,-93
G13,481,237,-50,-56,-41,-59,0,0,-95,-87,-94,-94
G13,481,237,-50,-54,-41,-58,0,0,-95,-86,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,-93,-94
G13,481,237,-50,-55,-41,-58,0,0,-92,-88,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-86,-93,-90
G13,481,237,-49,-54,-41,-58,0,0,-93,-87,-93,-92
G13,481,237,-50,-54,-41,-59,0,0,-94,-94,-93,0
G13,481,237,-50,-54,-42,-58,0,-92,-94,0,-93,0
G13,481,237,-49,-54,-41,-58,0,0,-94,0,-92,0
G13,481,237,-51,-54,-41,-58,0,0,-94,0,-92,-93
G13,481,237,-50,-54,-41,-59,0,0,-95,-88,-94,-92
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,-91,0
G13,481,237,-51,-54,-42,-58,0,-94,-94,-88,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-95,-87,-94,0
G13,481,237,-50,-54,-41,-59,0,0,-94,-87,-95,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,-93,-96
G13,481,237,-50,-54,-42,-58,0,0,-94,-87,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-94,-87,-94,0
G13,481,237,-51,-54,-41,-59,0,0,-94,-86,-92,0
G13,481,237,-51,-54,-41,-58,0,0,-95,-88,-92,0
G13,481,237,-50,-53,-41,-57,0,0,-92,-87,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-88,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-88,-92,0
G13,481,237,-50,-54,-41,-59,0,0,-93,-87,-92,0
G13,481,237,-50,-53,-41,-58,0,0,-92,-87,-90,0
G13,481,237,-50,-54,-42,-58,0,0,-95,-94,-94,0
G13,481,237,-50,-54,-41,-58,0,0,-94,0,-94,-90
G13,481,237,-51,-54,-41,-58,0,0,-93,0,-93,-94
G13,481,237,-50,-54,-42,-58,0,0,-92,-86,-92,-94
G13,481,237,-50,-54,-41,-58,0,0,-94,-87,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-86,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-94,-87,-94,0
G13,481,237,-50,-54,-41,-59,0,0,-94,-88,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,-94,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-88,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-94,-87,-92,-93
G13,481,237,-50,-54,-41,-59,0,0,-93,-88,-91,0
G13,481,237,-50,-54,-41,-58,0,0,-95,-88,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-95,-87,-95,0
G13,481,237,-50,-54,-41,-58,0,0,0,-86,-92,0
G13,481,237,-50,-54,-41,-59,0,0,-94,0,0,0
G13,481,237,-49,-54,-41,-58,0,0,-92,0,-94,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-86,-94,0
G13,481,237,-50,-54,-41,-59,0,0,-93,-87,-93,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-86,-94,0
G13,481,237,-50,-54,-41,-59,0,0,-95,-86,0,0
G13,481,237,-50,-54,-41,-58,0,0,-92,-94,-92,0
G13,481,237,-50,-54,-41,-59,0,0,-95,0,0,0
G13,481,237,-49,-54,-42,-58,0,0,-93,-87,-95,0
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,-92,0
G13,481,237,-49,-54,-41,-58,0,0,-95,-87,-94,0
G13,481,237,-50,-54,-41,-58,0,0,-92,-88,-94,-93
G13,481,237,-50,-54,-41,-58,0,0,-93,-87,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-95,-87,-92,0
G13,481,237,-50,-54,-41,-58,0,0,-95,-86,-94,0
