location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
G30R,957,239,-79,-54,-70,-77,0,-95,-94,0,0,0
G30R,957,239,-79,-54,-69,-77,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-80,-54,-69,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-69,-77,0,0,0,0,0,0
G30R,957,239,-78,-54,-69,-76,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-80,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-80,-54,-70,-74,0,0,0,0,0,0
G30R,957,239,-80,-54,-69,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-77,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-77,-54,-69,-75,0,0,0,0,0,0
G30R,957,239,-77,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-77,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-77,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-77,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-69,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-69,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-80,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-74,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-80,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-74,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-74,0,0,0,0,0,0
G30R,957,239,-77,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-77,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-74,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-74,0,0,0,0,0,0
G30R,957,239,-79,-54,-69,-74,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-74,0,0,0,0,0,0
G30R,957,239,-79,-54,-69,-77,0,0,0,0,0,0
G30R,957,239,-78,-54,-69,-78,0,0,0,0,0,0
G30R,957,239,-79,-54,-69,-74,0,0,-95,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,-94,0,0,0
G30R,957,239,-79,-54,-69,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-69,-75,0,0,-95,0,0,0
G30R,957,239,-79,-54,-70,-77,0,0,0,0,0,0
G30R,957,239,-79,-54,-69,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-74,0,0,0,0,0,0
G30R,957,239,-79,-54,-69,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-69,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-69,-76,0,0,0,0,0,0
G30R,957,239,-80,-54,-69,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-69,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-76,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-74,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-69,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-69,-75,0,0,0,0,0,0
G30R,957,239,-78,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,0,0,0,0
G30R,957,239,-79,-54,-70,-74,0,0,-95,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,-95,0,0,0
G30R,957,239,-79,-54,-69,-75,0,0,-95,0,0,0
G30R,957,239,-79,-54,-70,-75,0,0,-94,0,0,0
G30R,957,239,-78,-54,-69,-75,0,0,0,0,0,0
