location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
G5,249,237,-35,-54,-57,-70,-94,-92,-95,-91,-93,-86
G5,249,237,-35,-54,-58,-70,-94,0,-94,0,-93,-88
G5,249,237,-35,-54,-59,-75,-95,0,-93,0,0,-87
G5,249,237,-35,-54,-58,-71,-92,0,-93,0,-93,-87
G5,249,237,-35,-54,-57,-71,-92,0,-95,0,0,-86
G5,249,237,-35,-54,-58,-71,-96,0,-95,-93,-94,-85
G5,249,237,-35,-54,-58,-71,-92,0,-94,-93,0,-87
G5,249,237,-35,-54,-58,-72,-93,0,-94,-95,0,-85
G5,249,237,-35,-54,-58,-70,-94,0,-91,-91,0,-85
G5,249,237,-35,-54,-58,-70,-91,0,-94,0,0,-86
G5,249,237,-35,-54,-58,-69,-93,0,-93,0,-93,-85
G5,249,237,-35,-54,-59,-70,-92,0,-97,-92,-93,-86
G5,249,237,-35,-54,-58,-69,-95,0,-94,0,-94,-86
G5,249,237,-35,-54,-58,-70,-94,0,-96,0,0,-86
G5,249,237,-35,-54,-58,-70,-95,0,0,-92,0,-86
G5,249,237,-35,-54,-58,-70,-93,0,-95,0,-95,-86
G5,249,237,-35,-54,-58,-70,-95,0,-93,0,-92,-87
G5,249,237,-35,-54,-59,-70,-93,0,-94,0,-95,-86
G5,249,237,-35,-54,-58,-70,-94,0,0,0,0,-85
G5,249,237,-35,-54,-58,-70,-92,0,-94,-93,-93,-86
G5,249,237,-35,-54,-59,-70,-96,0,-93,-94,-93,-87
G5,249,237,-35,-54,-58,-70,-95,0,-97,-92,-92,-85
G5,249,237,-35,-54,-58,-71,-94,0,-96,-90,0,-86
G5,249,237,-35,-54,-58,-70,-95,0,0,0,-92,-85
G5,249,237,-35,-54,-58,-71,-96,0,-94,-95,0,-87
G5,249,237,-35,-54,-58,-70,-94,0,-94,-93,0,-86
G5,249,237,-35,-54,-58,-70,-93,0,-97,-94,0,-86
G5,249,237,-35,-54,-58,-70,-93,0,-96,-94,0,-87
G5,249,237,-35,-54,-58,-70,-95,0,-94,-93,-94,-85
G5,249,237,-35,-54,-58,-71,-94,0,0,-92,-91,-85
G5,249,237,-35,-54,-59,-70,-93,0,-92,0,-94,-84
G5,249,237,-35,-54,-58,-70,-92,0,-95,-94,-94,-86
G5,249,237,-35,-54,-58,-70,-93,0,-96,0,0,-86
G5,249,237,-35,-54,-58,-71,-94,0,0,-92,-94,-87
G5,249,237,-35,-54,-58,-70,-95,0,-96,-92,0,-86
G5,249,237,-35,-54,-59,-70,-92,0,-94,0,-92,-86
G5,249,237,-35,-54,-58,-70,-94,0,-95,0,-92,-86
G5,249,237,-35,-54,-58,-70,-93,0,0,-91,0,-87
G5,249,237,-35,-54,-59,-71,-94,0,-92,-93,-92,-86
