location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
G7,311,237,-42,-55,-49,-66,-94,0,-94,-93,-90,-75
G7,311,237,-43,-55,-49,-66,-92,0,0,-92,-91,-75
G7,311,237,-43,-55,-49,-66,-95,0,-95,-92,-90,-76
G7,311,237,-43,-55,-49,-66,-93,0,0,-90,-91,-75
G7,311,237,-42,-55,-49,-66,-93,0,0,-92,-92,-73
G7,311,237,-43,-55,-49,-67,-94,0,0,-92,-90,-73
G7,311,237,-43,-55,-49,-67,-93,0,0,-94,-91,-75
G7,311,237,-43,-55,-49,-66,-95,0,0,-91,-89,-75
G7,311,237,-43,-55,-49,-66,-93,0,0,-95,-91,-75
G7,311,237,-43,-55,-49,-66,-94,0,0,-93,-91,-73
G7,311,237,-42,-55,-49,-66,-94,0,0,-94,-92,-75
G7,311,237,-43,-55,-49,-66,-95,0,-95,-93,-90,-75
G7,311,237,-42,-55,-49,-67,-93,0,0,-88,-90,-75
G7,311,237,-42,-55,-49,-66,-94,0,0,-91,-93,-75
G7,311,237,-43,-55,-49,-66,-93,0,0,-96,-92,-75
G7,311,237,-43,-55,-49,-66,-95,0,0,-91,-92,-74
