location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
A1R,140,430,-39,-55,-59,-63,-93,-92,-82,-89,-89,-88
A1R,140,430,-39,-55,-59,-62,-94,0,0,-88,-89,-89
A1R,140,430,-38,-55,-59,-63,-93,0,0,-89,-88,-87
A1R,140,430,-39,-55,-59,-62,-94,0,0,-88,-84,-89
A1R,140,430,-39,-55,-59,-62,-93,0,0,-89,-90,-88
A1R,140,430,-39,-55,-59,-62,-92,0,0,-88,-86,-89
A1R,140,430,-39,-55,-59,-63,-92,0,0,-91,-86,0
A1R,140,430,-39,-55,-59,-62,-95,0,0,-89,0,0
A1R,140,430,-38,-55,-60,-63,-95,0,0,-89,-87,-88
A1R,140,430,-38,-55,-58,-62,-93,0,0,-89,-88,0
A1R,140,430,-38,-55,-60,-62,-93,0,0,-89,-87,0
A1R,140,430,-39,-55,-60,-64,-93,0,0,0,-87,0
A1R,140,430,-39,-55,-59,-62,0,0,0,-89,0,-90
A1R,140,430,-39,-55,-59,-63,-94,0,0,-89,-86,-90
A1R,140,430,-38,-55,-59,-63,-93,0,0,-87,-87,-91
A1R,140,430,-39,-55,-59,-63,-91,0,0,-89,-89,-87
A1R,140,430,-38,-55,-60,-63,-95,0,0,-89,-87,-88
A1R,140,430,-39,-55,-58,-63,-94,0,0,-89,-88,-88
A1R,140,430,-39,-55,-60,-63,-94,0,0,-89,-86,-90
A1R,140,430,-39,-55,-59,-62,-92,0,0,-89,-86,-90
A1R,140,430,-39,-55,-59,-63,-92,0,0,0,0,-89
A1R,140,430,-39,-55,-59,-62,-93,0,0,-88,-87,-87
A1R,140,430,-39,-55,-59,-62,-93,0,0,-87,-89,-90
A1R,140,430,-39,-55,-59,-63,-93,0,0,0,-89,-90
A1R,140,430,-39,-55,-58,-64,-92,0,0,-89,-87,-86
A1R,140,430,-39,-55,-59,-62,-94,0,0,-89,-86,-89
A1R,140,430,-39,-55,-59,-62,-93,0,0,-90,-87,-86
A1R,140,430,-39,-55,-59,-62,-95,0,0,-88,-87,-88
A1R,140,430,-39,-55,-59,-62,-93,0,0,-89,-89,-89
A1R,140,430,-39,-55,-59,-62,-92,0,0,-90,-86,-89
A1R,140,430,-39,-55,-59,-65,0,0,0,-89,-89,-89
A1R,140,430,-39,-55,-59,-63,-94,0,0,-87,-86,-87
A1R,140,430,-39,-55,-59,-63,-93,0,0,-88,-89,-87
A1R,140,430,-39,-55,-59,-63,-94,0,0,-90,-85,-88
A1R,140,430,-39,-55,-59,-63,-93,0,0,-91,-89,-89
A1R,140,430,-39,-55,-59,-62,-92,0,0,-94,-85,-89
A1R,140,430,-39,-55,-59,-63,-94,0,0,-89,-86,-90
A1R,140,430,-39,-55,-59,-62,-93,0,0,-89,-87,-88
A1R,140,430,-39,-55,-59,-62,-91,0,0,-89,-88,-88
A1R,140,430,-39,-55,-60,-63,-92,0,0,-87,-86,-90
A1R,140,430,-39,-55,-60,-63,-93,0,0,-88,-91,-90
A1R,140,430,-39,-55,-59,-63,-93,0,0,-89,-86,-89
A1R,140,430,-39,-55,-60,-64,-92,0,0,-88,-88,-87
A1R,140,430,-39,-55,-59,-63,-95,0,0,-89,-86,-89
A1R,140,430,-39,-55,-58,-63,-93,0,0,-88,-87,-89
A1R,140,430,-38,-55,-58,-63,-93,0,0,-88,-86,-89
A1R,140,430,-38,-55,-60,-62,-93,0,0,-90,-87,-89
A1R,140,430,-38,-55,-59,-62,-92,0,0,-90,-88,-88
A1R,140,430,-39,-55,-59,-62,-94,0,0,-86,-86,-90
A1R,140,430,-39,-55,-60,-63,-94,0,0,-89,-85,-89
A1R,140,430,-39,-55,-60,-63,-92,0,0,-85,-87,-90
A1R,140,430,-39,-55,-60,-63,-92,0,0,-89,-85,-88
A1R,140,430,-39,-55,-60,-62,-95,0,0,-88,-87,-90
A1R,140,430,-39,-55,-60,-63,-92,0,0,-89,-87,-90
A1R,140,430,-38,-54,-59,-63,-95,0,0,-90,-88,-89
A1R,140,430,-39,-55,-59,-64,-95,0,0,-88,-90,-89
A1R,140,430,-38,-56,-58,-64,-96,0,0,-90,-87,-90
A1R,140,430,-39,-55,-59,-64,-95,0,0,-89,-85,-90
A1R,140,430,-38,-55,-60,-62,-94,0,0,-89,-88,-90
A1R,140,430,-39,-55,-60,-64,-93,0,0,-88,-90,-90
A1R,140,430,-39,-54,-60,-62,-93,0,0,0,-88,0
A1R,140,430,-39,-55,-59,-62,-94,0,0,-88,-86,-88
A1R,140,430,-39,-55,-60,-64,-92,0,0,-90,-87,0
A1R,140,430,-39,-55,-59,-63,-93,0,0,-88,-87,-89
A1R,140,430,-39,-55,-58,-63,-94,0,0,-89,-88,-90
A1R,140,430,-38,-56,-59,-63,-94,0,0,-88,-86,-88
A1R,140,430,-39,-54,-60,-63,0,0,0,0,0,0
A1R,140,430,-39,-55,-58,-61,-93,0,0,-89,-87,-89
A1R,140,430,-38,-55,-59,-66,-93,0,0,-85,-87,-87
A1R,140,430,-39,-55,-58,-63,-93,0,0,-88,-86,-86
A1R,140,430,-39,-55,-60,-63,-93,0,0,-89,-86,-90
A1R,140,430,-38,-55,-60,-63,-92,0,0,-90,-86,-90
A1R,140,430,-39,-55,-59,-62,-92,0,0,-89,-87,-90
