locatioR,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
D1R,140,340,-41,-62,-74,-75,-95,0,0,-88,-86,-90
D1R,140,340,-41,-62,-74,-75,0,0,0,-89,0,-89
D1R,140,340,-41,-62,-75,-75,0,0,0,-90,-88,-89
D1R,140,340,-41,-62,-74,-75,0,0,0,-90,-88,-91
D1R,140,340,-41,-62,-73,-74,0,0,0,-91,-85,-94
D1R,140,340,-41,-62,-74,-75,0,0,0,-91,-87,-93
D1R,140,340,-41,-62,-74,-75,0,0,0,-89,-86,-92
D1R,140,340,-41,-62,-74,-74,0,0,0,-88,-89,-91
D1R,140,340,-41,-62,-74,-75,0,0,0,-89,-87,-93
D1R,140,340,-41,-62,-74,-75,0,0,0,-91,-89,-93
D1R,140,340,-41,-62,-74,-75,0,0,0,-89,-89,-91
D1R,140,340,-41,-62,-76,-75,0,0,0,-89,-87,-91
D1R,140,340,-41,-63,-75,-74,0,0,0,-89,-87,-91
D1R,140,340,-41,-63,-77,-73,0,0,0,-91,-87,-90
D1R,140,340,-41,-63,-75,-76,0,0,0,0,-88,-92
D1R,140,340,-41,-62,-75,-75,0,0,0,-91,-87,-92
D1R,140,340,-41,-63,-76,-76,0,0,0,-90,-85,-89
D1R,140,340,-41,-63,-74,-74,0,0,0,-90,-87,-91
D1R,140,340,-41,-65,-77,-75,0,0,0,-90,-88,-91
D1R,140,340,-41,-65,-75,-74,0,0,0,-91,-87,-92
D1R,140,340,-41,-63,-75,-74,0,0,0,-88,-87,-93
D1R,140,340,-41,-62,-75,-74,0,0,0,-89,-89,-90
D1R,140,340,-40,-63,-75,-75,0,0,0,-89,-87,-92
D1R,140,340,-41,-62,-75,-75,0,0,0,-90,-86,-90
D1R,140,340,-41,-63,-75,-75,0,0,0,-90,-86,-93
D1R,140,340,-42,-63,-75,-75,0,0,0,-89,-87,-89
D1R,140,340,-41,-63,-74,-74,0,0,0,-91,-86,-91
D1R,140,340,-41,-66,-77,-75,0,0,0,-90,-87,-89
D1R,140,340,-41,-65,-75,-75,0,0,0,-92,-87,-96
D1R,140,340,-41,-63,-75,-76,0,0,0,-90,-86,-93
D1R,140,340,-41,-63,-75,-75,0,0,0,-91,-89,-92
D1R,140,340,-41,-63,-76,-75,0,0,0,-91,-86,-93
D1R,140,340,-41,-63,-76,-75,0,0,0,-88,-87,-92
D1R,140,340,-41,-63,-76,-75,0,0,0,-91,-90,-93
D1R,140,340,-41,-62,-76,-75,0,0,0,-88,-86,-91
D1R,140,340,-41,-62,-76,-75,0,0,0,-89,-87,-95
