location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
G35R,1096,239,-68,-48,-63,-66,0,0,-95,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-64,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-64,-66,0,0,0,0,0,0
G35R,1096,239,-68,-47,-64,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-47,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-64,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-67,0,0,0,0,0,0
G35R,1096,239,-68,-47,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-64,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-65,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-65,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-65,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-64,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-65,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-65,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-65,-66,0,0,0,0,0,0
G35R,1096,239,-68,-47,-65,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-65,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-65,-66,0,0,0,0,0,0
G35R,1096,239,-68,-48,-63,-66,0,0,0,0,0,0
G35R,1096,239,-68,-47,-65,-66,0,0,0,0,0,0
