locatioR,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
G9R,365,239,-45,-53,-72,-58,-90,0,-94,-83,-82,-94
G9R,365,239,-45,-55,-72,-58,-93,0,0,-82,0,0
G9R,365,239,-45,-54,-71,-58,-94,0,0,-78,-83,0
G9R,365,239,-45,-54,-71,-58,-94,0,0,-79,-83,0
G9R,365,239,-45,-54,-71,-58,-92,0,0,-82,-83,0
G9R,365,239,-45,-55,-72,-58,-94,0,0,-83,-86,0
G9R,365,239,-45,-54,-71,-58,-95,0,0,-83,-82,0
G9R,365,239,-45,-54,-71,-58,-93,0,0,-83,-83,0
G9R,365,239,-45,-55,-71,-57,-91,0,0,-82,-81,0
G9R,365,239,-45,-54,-71,-58,-93,0,0,-78,-82,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-78,-83,0
G9R,365,239,-45,-54,-71,-58,-94,0,0,-79,-86,0
G9R,365,239,-45,-54,-71,-58,-95,0,0,-78,-83,0
G9R,365,239,-44,-55,-71,-58,-91,0,0,-78,-83,0
G9R,365,239,-45,-54,-71,-57,-91,0,0,-78,-85,0
G9R,365,239,-45,-54,-71,-58,-91,0,0,-78,-82,0
G9R,365,239,-45,-55,-72,-58,-93,0,0,-79,-83,0
G9R,365,239,-45,-54,-72,-57,-93,0,0,-78,-85,0
G9R,365,239,-45,-54,-71,-57,-92,0,0,-79,-86,0
G9R,365,239,-46,-54,-71,-57,-95,0,0,-79,-82,0
G9R,365,239,-44,-55,-71,-57,-90,0,0,-79,-83,0
G9R,365,239,-45,-55,-71,-58,-93,0,0,-78,-86,0
G9R,365,239,-45,-54,-72,-58,0,0,0,-79,-82,0
G9R,365,239,-45,-54,-72,-58,-93,0,0,-82,-85,0
G9R,365,239,-45,-54,-72,-57,-94,0,0,-82,-83,0
G9R,365,239,-45,-54,-72,-57,-93,0,0,-81,-86,0
G9R,365,239,-45,-55,-72,-58,-93,0,0,-79,-83,0
G9R,365,239,-45,-55,-71,-57,-94,0,0,-79,-82,0
G9R,365,239,-45,-55,-71,-58,-93,0,0,-79,-87,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-79,-82,0
G9R,365,239,-45,-55,-71,-57,-93,0,0,-82,-83,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-78,-85,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-79,-86,0
G9R,365,239,-45,-54,-72,-59,-93,0,0,-82,-85,0
G9R,365,239,-45,-55,-71,-57,-94,0,0,-78,-86,0
G9R,365,239,-45,-55,-72,-57,-91,0,0,-78,-83,0
G9R,365,239,-45,-55,-72,-57,-93,0,0,-81,-86,0
G9R,365,239,-45,-54,-72,-58,-92,0,0,-81,0,0
G9R,365,239,-45,-54,-72,-58,-92,0,0,-79,-85,0
G9R,365,239,-45,-55,-72,-58,-91,0,0,-79,-86,0
G9R,365,239,-45,-55,-73,-58,-91,0,0,-79,0,0
G9R,365,239,-45,-54,-72,-58,-93,0,0,-79,-82,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-79,-82,0
G9R,365,239,-45,-54,-72,-57,-91,0,0,-78,-87,0
G9R,365,239,-45,-55,-72,-57,-92,0,0,-78,-86,0
G9R,365,239,-45,-54,-72,-58,-92,0,0,-79,-82,0
G9R,365,239,-45,-54,-72,-58,-90,0,0,-80,-82,0
G9R,365,239,-45,-55,-72,-57,-91,0,0,-79,-82,0
G9R,365,239,-45,-54,-72,-57,-90,0,0,-79,-86,0
G9R,365,239,-45,-54,-72,-57,-95,0,0,-79,-82,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-79,-86,0
G9R,365,239,-45,-54,-72,-57,-94,0,0,-79,-83,0
G9R,365,239,-45,-55,-72,-58,-94,0,0,-78,-87,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-79,-86,0
G9R,365,239,-45,-54,-71,-57,-93,0,0,-78,-82,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-79,-82,0
G9R,365,239,-45,-54,-73,-58,-94,0,0,-79,-85,0
G9R,365,239,-45,-54,-72,-59,-95,0,0,-82,-83,0
G9R,365,239,-45,-54,-72,-58,-94,0,0,-83,-85,0
G9R,365,239,-45,-54,-72,-57,-94,0,0,-82,0,0
G9R,365,239,-45,-53,-72,-57,-94,0,0,-81,-84,0
G9R,365,239,-45,-54,-72,-57,-93,0,0,-78,-85,0
G9R,365,239,-44,-54,-73,-58,-92,0,0,-82,-86,0
G9R,365,239,-45,-54,-72,-58,-95,0,0,-81,-86,0
G9R,365,239,-45,-54,-73,-58,-94,0,0,-79,-84,0
G9R,365,239,-45,-54,-72,-57,-93,0,0,-78,-86,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-79,-83,0
G9R,365,239,-45,-54,-72,-57,-91,0,0,-79,-86,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-79,-82,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-79,-82,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-79,-86,0
G9R,365,239,-45,-55,-72,-58,-93,0,0,-79,-87,0
G9R,365,239,-45,-54,-72,-58,-92,0,0,-79,-86,0
G9R,365,239,-45,-55,-72,-57,-90,0,0,-78,-87,0
G9R,365,239,-45,-57,-71,-57,-94,0,0,-79,-85,0
G9R,365,239,-45,-55,-73,-57,-91,0,0,-79,-82,0
G9R,365,239,-45,-55,-73,-57,-95,0,0,-79,-86,0
G9R,365,239,-46,-55,-73,-57,-94,0,0,-79,-84,0
G9R,365,239,-45,-57,-73,-57,-93,0,0,-79,-85,0
G9R,365,239,-45,-56,-86,-58,-94,0,0,-79,-83,0
G9R,365,239,-45,-56,-77,-58,-93,0,0,-78,-87,0
G9R,365,239,-45,-56,-69,-59,-92,0,0,-79,-82,0
G9R,365,239,-45,-56,-74,-58,-91,0,0,-78,-85,0
G9R,365,239,-45,-56,-71,-57,-93,0,0,-78,0,0
G9R,365,239,-45,-57,-73,-57,-91,0,0,0,-85,0
G9R,365,239,-45,-58,-75,-58,0,0,0,-83,-86,0
G9R,365,239,-45,-57,-73,-57,-92,0,0,-82,-83,0
G9R,365,239,-45,-57,-73,-58,-92,0,0,-82,-83,0
G9R,365,239,-45,-57,-78,-58,-92,0,0,-83,-85,0
G9R,365,239,-45,-57,-72,-58,-92,0,0,-79,-86,0
G9R,365,239,-45,-57,-74,-58,-93,0,0,-79,-84,0
G9R,365,239,-45,-57,-73,-58,-93,0,0,-80,-83,0
G9R,365,239,-45,-57,-75,-58,-94,0,0,-78,-86,0
G9R,365,239,-45,-57,-78,-58,-91,0,0,-83,-87,0
G9R,365,239,-46,-57,-73,-57,-90,0,0,-82,-85,0
G9R,365,239,-45,-57,-74,-58,-93,0,0,-81,-82,0
G9R,365,239,-46,-58,-77,-58,-92,0,0,-79,-83,0
G9R,365,239,-45,-57,-72,-58,-95,0,0,-79,-81,0
G9R,365,239,-45,-55,-73,-58,-95,0,0,-79,-82,0
G9R,365,239,-45,-54,-72,-57,-90,0,0,-79,-85,0
G9R,365,239,-45,-55,-72,-58,-90,0,0,-79,-86,0
G9R,365,239,-45,-55,-72,-57,-94,0,0,-80,-86,0
G9R,365,239,-45,-54,-72,-58,-91,0,0,-79,-82,0
G9R,365,239,-45,-54,-72,-58,-91,0,0,-79,-85,0
G9R,365,239,-45,-54,-72,-58,-93,0,0,0,-86,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-79,-82,0
G9R,365,239,-45,-54,-71,-57,-93,0,0,-79,-81,0
G9R,365,239,-45,-54,-72,-57,-94,0,0,0,-86,0
G9R,365,239,-45,-54,-72,-57,-94,0,0,-79,-87,0
G9R,365,239,-45,-54,-72,-57,-94,0,0,-82,-86,0
G9R,365,239,-45,-54,-72,-58,-92,0,0,-82,-83,0
G9R,365,239,-45,-53,-72,-57,-93,0,0,-82,-87,0
G9R,365,239,-45,-54,-72,-57,-93,0,0,-82,-82,0
G9R,365,239,-45,-54,-72,-57,-94,0,0,-81,-87,0
G9R,365,239,-45,-55,-72,-57,-93,0,0,-82,-83,0
G9R,365,239,-45,-55,-71,-57,-92,0,0,-79,-86,0
G9R,365,239,-45,-54,-72,-58,-92,0,0,-78,-87,0
G9R,365,239,-45,-54,-72,-58,-92,0,0,-83,-83,0
G9R,365,239,-45,-55,-72,-58,-93,0,0,-79,-86,0
G9R,365,239,-45,-55,-72,-58,-91,0,0,-78,-85,0
G9R,365,239,-45,-55,-71,-57,0,0,0,-79,-82,0
G9R,365,239,-45,-55,-71,-58,0,0,0,-79,-86,0
G9R,365,239,-45,-54,-71,-57,-93,0,0,-79,-82,0
G9R,365,239,-45,-54,-72,-58,-91,0,0,-78,-86,0
G9R,365,239,-45,-55,-72,-58,-92,0,0,0,-86,0
G9R,365,239,-45,-54,-72,-58,0,0,0,-79,-82,0
G9R,365,239,-45,-55,-71,-58,-93,0,0,-79,-85,0
G9R,365,239,-45,-54,-72,-57,-94,0,0,-81,-82,0
G9R,365,239,-45,-54,-72,-58,-91,0,0,0,-82,0
G9R,365,239,-45,-55,-72,-58,-93,0,0,-78,-83,0
G9R,365,239,-45,-55,-72,-59,-91,0,0,-78,-82,0
G9R,365,239,-45,-55,-71,-58,-92,0,0,-79,-86,0
G9R,365,239,-45,-54,-71,-57,-93,0,0,-79,-85,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-80,-86,0
G9R,365,239,-45,-54,-73,-58,-91,0,0,-82,-82,0
G9R,365,239,-45,-54,-73,-57,-93,0,0,-82,-83,0
G9R,365,239,-45,-54,-72,-57,-94,0,0,-82,-86,0
G9R,365,239,-45,-54,-72,-58,-91,0,0,-82,-85,0
G9R,365,239,-45,-54,-72,-57,-93,0,0,-82,-87,0
G9R,365,239,-45,-54,-72,-57,-93,0,0,-78,-83,0
G9R,365,239,-45,-54,-72,-57,-93,0,0,-79,-86,0
G9R,365,239,-45,-55,-72,-56,-91,0,0,-79,-86,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-79,-83,0
G9R,365,239,-45,-54,-72,-57,-94,0,0,-78,-85,0
G9R,365,239,-45,-54,-73,-57,-93,0,0,-78,-83,0
G9R,365,239,-45,-56,-72,-57,-92,0,0,-80,-83,0
G9R,365,239,-45,-55,-74,-57,-91,0,0,-80,-82,0
G9R,365,239,-45,-54,-70,-57,-93,0,0,-79,-86,0
G9R,365,239,-45,-55,-72,-58,-93,0,0,-83,-81,0
G9R,365,239,-46,-55,-72,-58,-92,0,0,-82,-85,0
G9R,365,239,-45,-54,-72,-57,-93,0,0,-78,-85,0
G9R,365,239,-45,-54,-72,-57,-93,0,0,-79,-82,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-79,-85,0
G9R,365,239,-45,-54,-72,-57,-92,0,0,-78,-86,0
G9R,365,239,-45,-54,-73,-57,-91,0,0,-82,-82,0
G9R,365,239,-45,-56,-72,-57,-94,0,0,-83,-82,0
G9R,365,239,-46,-55,-72,-57,-94,0,0,-82,-85,0
G9R,365,239,-45,-54,-73,-58,-92,0,0,-78,-86,0
G9R,365,239,-45,-55,-72,-58,-93,0,0,-82,-87,0
G9R,365,239,-45,-55,-72,-57,-94,0,0,-81,-82,0
G9R,365,239,-45,-55,-72,-57,-93,0,0,-82,-86,0
G9R,365,239,-45,-55,-72,-57,-94,0,0,-83,0,0
G9R,365,239,-45,-54,-72,-58,-92,0,0,-79,-82,0
G9R,365,239,-45,-54,-72,-58,-91,0,0,-78,-82,0
G9R,365,239,-45,-54,-72,-57,-93,0,0,-79,-87,0
G9R,365,239,-45,-54,-73,-58,-94,0,0,-79,-86,0
G9R,365,239,-45,-54,-73,-57,-93,0,0,-79,-82,0
G9R,365,239,-45,-56,-73,-58,-92,0,0,-78,-86,0
G9R,365,239,-45,-56,-72,-57,-94,0,0,-80,-85,0
G9R,365,239,-45,-55,-72,-58,-93,0,0,-79,-83,0
G9R,365,239,-45,-54,-72,-57,-95,0,0,-79,-83,0
G9R,365,239,-45,-55,-72,-57,-94,0,0,-78,-83,0
G9R,365,239,-45,-55,-72,-58,-93,0,0,-79,-85,0
G9R,365,239,-45,-54,-72,-57,-94,0,0,-81,-85,0
G9R,365,239,-45,-55,-72,-57,-95,0,0,-82,-85,0
G9R,365,239,-45,-55,-72,-57,-92,0,0,-80,-83,0
G9R,365,239,-45,-55,-72,-58,-93,0,0,-80,-82,0
G9R,365,239,-45,-55,-72,-57,-94,0,0,-79,-82,0
G9R,365,239,-45,-55,-71,-58,-93,0,0,-79,-85,0
G9R,365,239,-45,-55,-73,-58,-91,0,0,-79,-86,0
G9R,365,239,-45,-55,-72,-57,-93,0,0,-82,-82,0
G9R,365,239,-45,-54,-71,-58,-90,0,0,-83,-83,0
G9R,365,239,-45,-54,-74,-58,-90,0,0,-82,-82,0
G9R,365,239,-45,-57,-69,-58,-92,0,0,-79,-81,0
G9R,365,239,-45,-64,-69,-60,-94,0,0,-81,-83,0
G9R,365,239,-45,-55,-65,-57,-93,0,0,-79,-85,0
G9R,365,239,-45,-55,-75,-58,-92,0,0,-79,-82,0
G9R,365,239,-45,-55,-71,-57,-94,0,0,-79,-82,0
G9R,365,239,-45,-55,-70,-58,-90,0,0,-78,-85,0
G9R,365,239,-45,-55,-73,-58,-95,0,0,-79,-84,0
G9R,365,239,-45,-55,-71,-57,-92,0,0,-78,-82,0
G9R,365,239,-45,-54,-72,-58,-92,0,0,-79,-87,0
G9R,365,239,-45,-55,-71,-57,-93,0,0,-79,-82,0
G9R,365,239,-45,-55,-71,-57,-94,0,0,-82,-83,0
G9R,365,239,-45,-55,-70,-57,-91,0,0,-82,-86,0
G9R,365,239,-45,-55,-70,-58,-93,0,0,-79,-86,0
G9R,365,239,-45,-55,-72,-58,-91,0,0,-79,-82,0
G9R,365,239,-45,-55,-72,-58,-92,0,0,-79,-85,0
G9R,365,239,-45,-55,-72,-58,-93,0,0,-79,-85,0
G9R,365,239,-45,-55,-69,-58,-95,0,0,-79,-82,0
G9R,365,239,-45,-55,-70,-58,-95,0,0,-78,-83,0
G9R,365,239,-45,-55,-70,-58,-93,0,0,-81,-85,0
G9R,365,239,-45,-55,-70,-58,-91,0,0,-80,-82,0
G9R,365,239,-45,-55,-69,-58,-95,0,0,-83,-85,0
G9R,365,239,-45,-55,-70,-57,-92,0,0,-81,-82,0
G9R,365,239,-45,-55,-71,-58,0,0,0,-79,0,0
G9R,365,239,-45,-55,-70,-58,-93,0,0,-79,-85,0
G9R,365,239,-45,-55,-70,-58,-94,0,0,-79,-83,0
G9R,365,239,-45,-54,-70,-58,-93,0,0,-78,-81,0
G9R,365,239,-45,-55,-70,-58,-93,0,0,-78,-83,0
G9R,365,239,-45,-55,-70,-58,-91,0,0,-79,-85,0
G9R,365,239,-45,-55,-71,-58,-94,0,0,-81,-85,0
