location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
G4,226,430,-37,-61,-56,-61,-88,-93,-93,-92,-90,-84
G4,226,430,-37,-54,-54,-65,-94,0,0,-91,-91,-83
G4,226,430,-37,-50,-54,-62,0,0,0,-94,-90,-83
G4,226,430,-37,-49,-54,-63,0,0,0,-92,-90,-78
G4,226,430,-38,-49,-54,-63,0,0,0,-92,-90,-78
G4,226,430,-37,-50,-54,-65,0,0,-96,-93,-90,-84
G4,226,430,-37,-50,-54,-65,0,0,0,-92,-88,-83
G4,226,430,-37,-49,-54,-65,0,0,0,-92,-91,-85
G4,226,430,-37,-50,-55,-65,0,0,0,-92,-88,-78
G4,226,430,-37,-49,-54,-63,0,0,-92,-91,-89,-78
G4,226,430,-38,-49,-54,-62,0,0,0,-92,-90,-84
G4,226,430,-37,-49,-55,-62,0,0,0,-92,-87,-84
G4,226,430,-36,-49,-54,-64,0,0,-94,-92,-90,-78
G4,226,430,-37,-49,-54,-64,0,0,-92,-90,-91,-78
G4,226,430,-37,-48,-54,-62,0,0,0,-91,-90,-78
G4,226,430,-38,-49,-53,-63,0,0,0,-90,-90,0
G4,226,430,-37,-49,-53,-64,0,0,-94,-93,-92,-78
G4,226,430,-37,-50,-53,-64,0,0,-95,-91,-91,-78
G4,226,430,-37,-48,-54,-63,0,0,0,-92,-91,-78
G4,226,430,-37,-48,-53,-62,0,0,0,-93,-90,-78
G4,226,430,-37,-49,-54,-63,0,0,0,-91,-89,-85
G4,226,430,-37,-49,-54,-62,0,0,-94,-91,-90,-83
G4,226,430,-37,-49,-54,-65,0,0,-92,-92,-89,-83
G4,226,430,-37,-49,-55,-66,0,0,-95,-93,-89,-84
G4,226,430,-37,-49,-54,-65,0,0,-96,-92,-90,-84
G4,226,430,-38,-49,-53,-65,0,0,-93,-91,-91,-80
G4,226,430,-37,-49,-54,-65,0,0,0,-92,-90,-84
G4,226,430,-37,-49,-54,-65,0,0,-92,-92,-90,-83
G4,226,430,-37,-49,-54,-63,0,0,-94,-91,-91,-83
G4,226,430,-37,-49,-54,-65,0,0,-94,-92,-90,-84
G4,226,430,-37,-49,-53,-63,0,0,-93,-91,-91,-85
G4,226,430,-37,-49,-54,-63,0,0,-94,-92,-93,-84
G4,226,430,-37,-49,-55,-66,0,0,0,0,-89,-84
G4,226,430,-37,-49,-54,-63,0,0,-96,-93,-91,-84
G4,226,430,-37,-49,-54,-65,0,0,-94,-94,-92,-78
G4,226,430,-37,-49,-54,-64,-91,0,0,-91,-90,-77
G4,226,430,-37,-49,-54,-65,0,0,0,-93,-90,-84
G4,226,430,-37,-50,-54,-66,0,0,-95,-93,-89,-78
G4,226,430,-38,-49,-55,-64,0,0,0,0,-91,-79
G4,226,430,-38,-49,-54,-65,0,0,-95,-90,-89,-84
G4,226,430,-37,-50,-54,-65,0,0,-96,-94,-90,-83
G4,226,430,-37,-49,-54,-63,0,0,-94,-93,-90,-84
G4,226,430,-37,-49,-53,-64,0,0,-93,-90,-89,-84
G4,226,430,-36,-49,-54,-63,0,0,-92,-92,-90,-78
G4,226,430,-37,-49,-53,-63,-95,0,0,-93,-90,-78
G4,226,430,-37,-49,-54,-62,0,0,0,-92,-90,-84
G4,226,430,-36,-49,-54,-65,0,0,-94,-89,-93,-82
G4,226,430,-37,-49,-54,-63,-92,0,0,-91,-89,-83
G4,226,430,-37,-49,-55,-63,-93,0,-93,-90,-92,-84
G4,226,430,-37,-48,-55,-63,0,0,-94,-92,-90,-77
G4,226,430,-37,-49,-54,-63,0,0,0,-92,-90,-84
G4,226,430,-37,-49,-54,-62,0,0,-94,-90,-91,-84
G4,226,430,-37,-49,-55,-62,0,0,0,-93,-89,-78
G4,226,430,-37,-50,-54,-63,0,0,-92,-91,-89,-78
