location,x,y,tx1,tx2,tx3,tx4,wifi1,wifi2,wifi3,wifi4,wifi5,wifi6
A6,281,430,-55,-54,-49,-65,-90,0,-94,-93,-93,-84
A6,281,430,-45,-54,-49,-68,-91,0,0,-92,-93,-81
A6,281,430,-46,-55,-49,-67,-91,0,0,-95,-92,-81
A6,281,430,-49,-58,-48,-72,-90,0,0,-90,-94,-81
A6,281,430,-48,-58,-49,-66,-88,0,0,-92,-91,-82
A6,281,430,-48,-57,-48,-67,-92,0,0,-92,-93,-80
A6,281,430,-48,-56,-49,-68,-91,0,0,-91,-92,-81
A6,281,430,-48,-55,-48,-67,-92,0,0,-91,-94,-81
A6,281,430,-48,-56,-48,-66,-90,0,0,-92,-93,-81
A6,281,430,-48,-56,-48,-69,-92,0,0,-91,-91,-82
A6,281,430,-48,-55,-48,-67,-92,0,0,0,-91,-82
A6,281,430,-48,-55,-48,-68,-94,0,0,-93,-93,-81
A6,281,430,-48,-55,-49,-67,-91,0,0,-89,-93,-83
A6,281,430,-48,-55,-48,-68,-92,0,0,-91,-91,-81
A6,281,430,-48,-55,-49,-68,-92,0,0,-92,-91,-82
